,diff_0,diff_1,diff_2,target
87,7.0,7.0,10.0,43.0
88,7.0,10.0,43.0,101.0
89,58.0,55.0,54.0,57.0
90,55.0,54.0,57.0,67.0
91,54.0,57.0,67.0,75.0
92,57.0,67.0,75.0,77.0
93,67.0,75.0,77.0,79.0
94,75.0,77.0,79.0,79.0
95,77.0,79.0,79.0,83.0
96,79.0,79.0,83.0,91.0
97,79.0,83.0,91.0,101.0
98,84.0,78.0,68.0,60.0
99,78.0,68.0,60.0,101.0
100,92.0,90.0,86.0,85.0
101,90.0,86.0,85.0,79.0
102,86.0,85.0,79.0,82.0
103,85.0,79.0,82.0,69.0
104,79.0,82.0,69.0,64.0
105,82.0,69.0,64.0,59.0
106,69.0,64.0,59.0,63.0
107,64.0,59.0,63.0,59.0
108,59.0,63.0,59.0,63.0
109,63.0,59.0,63.0,58.0
110,59.0,63.0,58.0,72.0
111,63.0,58.0,72.0,82.0
112,58.0,72.0,82.0,94.0
113,72.0,82.0,94.0,101.0
114,93.0,80.0,63.0,54.0
115,80.0,63.0,54.0,43.0
116,63.0,54.0,43.0,32.0
117,54.0,43.0,32.0,25.0
118,43.0,32.0,25.0,15.0
119,32.0,25.0,15.0,12.0
120,25.0,15.0,12.0,8.0
121,15.0,12.0,8.0,6.0
122,12.0,8.0,6.0,4.0
123,8.0,6.0,4.0,1.0
124,6.0,4.0,1.0,3.0
125,4.0,1.0,3.0,6.0
126,1.0,3.0,6.0,10.0
127,3.0,6.0,10.0,16.0
128,6.0,10.0,16.0,25.0
129,10.0,16.0,25.0,34.0
130,16.0,25.0,34.0,41.0
131,25.0,34.0,41.0,51.0
132,34.0,41.0,51.0,56.0
133,41.0,51.0,56.0,75.0
134,51.0,56.0,75.0,87.0
135,56.0,75.0,87.0,94.0
136,75.0,87.0,94.0,94.0
137,87.0,94.0,94.0,101.0
138,53.0,31.0,14.0,4.0
139,31.0,14.0,4.0,1.0
140,14.0,4.0,1.0,1.0
141,4.0,1.0,1.0,1.0
142,1.0,1.0,1.0,1.0
143,1.0,1.0,1.0,1.0
144,1.0,1.0,1.0,1.0
145,1.0,1.0,1.0,1.0
146,1.0,1.0,1.0,3.0
147,1.0,1.0,3.0,6.0
148,1.0,3.0,6.0,12.0
149,3.0,6.0,12.0,13.0
150,6.0,12.0,13.0,23.0
151,12.0,13.0,23.0,33.0
152,13.0,23.0,33.0,40.0
153,23.0,33.0,40.0,46.0
154,33.0,40.0,46.0,60.0
155,40.0,46.0,60.0,64.0
156,46.0,60.0,64.0,75.0
157,60.0,64.0,75.0,101.0
158,85.0,76.0,73.0,70.0
159,76.0,73.0,70.0,75.0
160,73.0,70.0,75.0,85.0
161,70.0,75.0,85.0,94.0
162,75.0,85.0,94.0,101.0
163,60.0,57.0,44.0,34.0
164,57.0,44.0,34.0,35.0
