,diff_0,diff_1,diff_2,diff_3,target
188,71.0,82.0,84.0,98.0,101.0
189,81.0,97.0,98.0,93.0,86.0
190,33.0,33.0,46.0,64.0,78.0
191,33.0,46.0,64.0,78.0,92.0
192,46.0,64.0,78.0,92.0,101.0
193,40.0,37.0,33.0,31.0,36.0
194,37.0,33.0,31.0,36.0,37.0
195,33.0,31.0,36.0,37.0,42.0
196,31.0,36.0,37.0,42.0,52.0
197,36.0,37.0,42.0,52.0,61.0
198,37.0,42.0,52.0,61.0,81.0
199,42.0,52.0,61.0,81.0,87.0
200,52.0,61.0,81.0,87.0,96.0
201,61.0,81.0,87.0,96.0,101.0
202,33.0,42.0,56.0,70.0,90.0
203,42.0,56.0,70.0,90.0,101.0
204,82.0,80.0,78.0,78.0,75.0
205,80.0,78.0,78.0,75.0,78.0
206,78.0,78.0,75.0,78.0,72.0
207,78.0,75.0,78.0,72.0,72.0
208,75.0,78.0,72.0,72.0,78.0
209,78.0,72.0,72.0,78.0,82.0
210,72.0,72.0,78.0,82.0,93.0
211,72.0,78.0,82.0,93.0,101.0
212,95.0,89.0,89.0,96.0,100.0
213,89.0,89.0,96.0,100.0,101.0
214,93.0,87.0,87.0,78.0,77.0
215,87.0,87.0,78.0,77.0,71.0
216,87.0,78.0,77.0,71.0,64.0
217,78.0,77.0,71.0,64.0,70.0
218,77.0,71.0,64.0,70.0,69.0
219,71.0,64.0,70.0,69.0,67.0
220,64.0,70.0,69.0,67.0,60.0
221,70.0,69.0,67.0,60.0,57.0
222,69.0,67.0,60.0,57.0,62.0
223,67.0,60.0,57.0,62.0,63.0
224,60.0,57.0,62.0,63.0,60.0
225,57.0,62.0,63.0,60.0,64.0
226,62.0,63.0,60.0,64.0,63.0
227,63.0,60.0,64.0,63.0,65.0
228,60.0,64.0,63.0,65.0,70.0
229,64.0,63.0,65.0,70.0,71.0
230,63.0,65.0,70.0,71.0,101.0
231,48.0,46.0,44.0,54.0,75.0
232,46.0,44.0,54.0,75.0,84.0
233,44.0,54.0,75.0,84.0,96.0
234,54.0,75.0,84.0,96.0,101.0
