,diff_0,diff_1,target
94025,73.0,72.0,72.0
94026,72.0,72.0,68.0
94027,72.0,68.0,68.0
94028,68.0,68.0,66.0
94029,68.0,66.0,61.0
94030,66.0,61.0,57.0
94031,61.0,57.0,52.0
94032,57.0,52.0,49.0
94033,52.0,49.0,48.0
94034,49.0,48.0,57.0
94035,48.0,57.0,72.0
94036,57.0,72.0,85.0
94037,72.0,85.0,92.0
94038,85.0,92.0,94.0
94039,92.0,94.0,97.0
94040,94.0,97.0,95.0
94041,97.0,95.0,91.0
94042,95.0,91.0,94.0
94043,91.0,94.0,101.0
94044,39.0,33.0,32.0
94045,33.0,32.0,31.0
94046,32.0,31.0,28.0
94047,31.0,28.0,27.0
94048,28.0,27.0,22.0
94049,27.0,22.0,27.0
94050,22.0,27.0,31.0
94051,27.0,31.0,39.0
94052,31.0,39.0,45.0
94053,39.0,45.0,50.0
94054,45.0,50.0,53.0
94055,50.0,53.0,59.0
94056,53.0,59.0,101.0
94057,90.0,77.0,66.0
94058,77.0,66.0,61.0
94059,66.0,61.0,59.0
94060,61.0,59.0,47.0
94061,59.0,47.0,101.0
94062,79.0,64.0,60.0
94063,64.0,60.0,56.0
94064,60.0,56.0,62.0
94065,56.0,62.0,66.0
94066,62.0,66.0,69.0
94067,66.0,69.0,70.0
94068,69.0,70.0,80.0
94069,70.0,80.0,85.0
94070,80.0,85.0,89.0
94071,85.0,89.0,101.0
94072,83.0,72.0,73.0
94073,72.0,73.0,82.0
94074,73.0,82.0,85.0
94075,82.0,85.0,86.0
94076,85.0,86.0,77.0
94077,86.0,77.0,81.0
94078,77.0,81.0,91.0
94079,81.0,91.0,97.0
94080,91.0,97.0,101.0
94081,89.0,71.0,64.0
94082,71.0,64.0,59.0
94083,64.0,59.0,30.0
94084,59.0,30.0,19.0
94085,30.0,19.0,11.0
94086,19.0,11.0,7.0
94087,11.0,7.0,9.0
94088,7.0,9.0,7.0
94089,9.0,7.0,7.0
94090,7.0,7.0,8.0
94091,7.0,8.0,10.0
94092,8.0,10.0,9.0
94093,10.0,9.0,10.0
94094,9.0,10.0,11.0
94095,10.0,11.0,11.0
94096,11.0,11.0,19.0
94097,11.0,19.0,23.0
94098,19.0,23.0,32.0
94099,23.0,32.0,41.0
94100,32.0,41.0,101.0
94101,73.0,71.0,58.0
94102,71.0,58.0,64.0
94103,58.0,64.0,80.0
94104,64.0,80.0,85.0
94105,80.0,85.0,96.0
94106,85.0,96.0,101.0
94107,92.0,28.0,45.0
94108,28.0,45.0,67.0
94109,45.0,67.0,101.0
94110,99.0,89.0,86.0
94111,89.0,86.0,68.0
94112,86.0,68.0,61.0
94113,68.0,61.0,69.0
94114,61.0,69.0,67.0
94115,69.0,67.0,55.0
94116,67.0,55.0,49.0
94117,55.0,49.0,45.0
94118,49.0,45.0,42.0
94119,45.0,42.0,33.0
94120,42.0,33.0,30.0
94121,33.0,30.0,25.0
94122,30.0,25.0,22.0
94123,25.0,22.0,19.0
94124,22.0,19.0,16.0
94125,19.0,16.0,17.0
94126,16.0,17.0,18.0
94127,17.0,18.0,13.0
94128,18.0,13.0,13.0
94129,13.0,13.0,8.0
94130,13.0,8.0,6.0
94131,8.0,6.0,5.0
94132,6.0,5.0,7.0
94133,5.0,7.0,8.0
94134,7.0,8.0,10.0
94135,8.0,10.0,13.0
94136,10.0,13.0,14.0
94137,13.0,14.0,13.0
94138,14.0,13.0,13.0
94139,13.0,13.0,16.0
94140,13.0,16.0,16.0
94141,16.0,16.0,16.0
94142,16.0,16.0,13.0
94143,16.0,13.0,15.0
94144,13.0,15.0,22.0
94145,15.0,22.0,25.0
94146,22.0,25.0,29.0
94147,25.0,29.0,28.0
94148,29.0,28.0,29.0
94149,28.0,29.0,29.0
94150,29.0,29.0,30.0
94151,29.0,30.0,26.0
94152,30.0,26.0,25.0
94153,26.0,25.0,29.0
94154,25.0,29.0,32.0
94155,29.0,32.0,37.0
94156,32.0,37.0,34.0
94157,37.0,34.0,35.0
94158,34.0,35.0,33.0
94159,35.0,33.0,35.0
94160,33.0,35.0,37.0
94161,35.0,37.0,39.0
94162,37.0,39.0,45.0
94163,39.0,45.0,45.0
94164,45.0,45.0,45.0
94165,45.0,45.0,49.0
94166,45.0,49.0,101.0
94167,97.0,94.0,96.0
94168,94.0,96.0,97.0
94169,96.0,97.0,101.0
94170,97.0,84.0,84.0
94171,84.0,84.0,84.0
94172,84.0,84.0,90.0
94173,84.0,90.0,88.0
94174,90.0,88.0,88.0
94175,88.0,88.0,98.0
94176,88.0,98.0,96.0
94177,98.0,96.0,98.0
94178,96.0,98.0,101.0
94179,1.0,2.0,2.0
94180,2.0,2.0,2.0
94181,2.0,2.0,3.0
94182,2.0,3.0,3.0
94183,3.0,3.0,3.0
94184,3.0,3.0,5.0
94185,3.0,5.0,5.0
94186,5.0,5.0,8.0
94187,5.0,8.0,13.0
94188,8.0,13.0,19.0
94189,13.0,19.0,28.0
94190,19.0,28.0,36.0
94191,28.0,36.0,42.0
94192,36.0,42.0,51.0
94193,42.0,51.0,54.0
94194,51.0,54.0,57.0
94195,54.0,57.0,56.0
94196,57.0,56.0,59.0
94197,56.0,59.0,101.0
94198,38.0,31.0,77.0
94199,31.0,77.0,98.0
94200,77.0,98.0,101.0
94201,89.0,77.0,73.0
94202,77.0,73.0,62.0
94203,73.0,62.0,62.0
94204,62.0,62.0,58.0
94205,62.0,58.0,62.0
94206,58.0,62.0,70.0
94207,62.0,70.0,74.0
94208,70.0,74.0,86.0
94209,74.0,86.0,95.0
94210,86.0,95.0,101.0
94211,87.0,50.0,46.0
94212,50.0,46.0,47.0
94213,46.0,47.0,41.0
94214,47.0,41.0,32.0
94215,41.0,32.0,18.0
94216,32.0,18.0,16.0
94217,18.0,16.0,11.0
94218,16.0,11.0,9.0
94219,11.0,9.0,6.0
94220,9.0,6.0,3.0
94221,6.0,3.0,4.0
94222,3.0,4.0,3.0
94223,4.0,3.0,2.0
94224,3.0,2.0,4.0
94225,2.0,4.0,4.0
94226,4.0,4.0,5.0
94227,4.0,5.0,6.0
94228,5.0,6.0,6.0
94229,6.0,6.0,4.0
94230,6.0,4.0,6.0
94231,4.0,6.0,7.0
94232,6.0,7.0,8.0
94233,7.0,8.0,10.0
94234,8.0,10.0,11.0
94235,10.0,11.0,14.0
94236,11.0,14.0,13.0
94237,14.0,13.0,14.0
94238,13.0,14.0,15.0
94239,14.0,15.0,18.0
94240,15.0,18.0,18.0
94241,86.0,42.0,37.0
94242,42.0,37.0,29.0
94243,37.0,29.0,29.0
94244,29.0,29.0,29.0
94245,29.0,29.0,30.0
