,diff_0,diff_1,diff_2,diff_3,diff_4,diff_5,diff_6,diff_7,target
75,91.0,99.0,93.0,90.0,88.0,89.0,86.0,84.0,76.0
76,99.0,93.0,90.0,88.0,89.0,86.0,84.0,76.0,85.0
77,93.0,90.0,88.0,89.0,86.0,84.0,76.0,85.0,93.0
78,90.0,88.0,89.0,86.0,84.0,76.0,85.0,93.0,101.0
79,96.0,81.0,81.0,78.0,85.0,72.0,71.0,64.0,60.0
80,81.0,81.0,78.0,85.0,72.0,71.0,64.0,60.0,63.0
81,81.0,78.0,85.0,72.0,71.0,64.0,60.0,63.0,69.0
82,78.0,85.0,72.0,71.0,64.0,60.0,63.0,69.0,57.0
83,85.0,72.0,71.0,64.0,60.0,63.0,69.0,57.0,54.0
84,72.0,71.0,64.0,60.0,63.0,69.0,57.0,54.0,42.0
85,71.0,64.0,60.0,63.0,69.0,57.0,54.0,42.0,57.0
86,64.0,60.0,63.0,69.0,57.0,54.0,42.0,57.0,55.0
87,60.0,63.0,69.0,57.0,54.0,42.0,57.0,55.0,68.0
88,63.0,69.0,57.0,54.0,42.0,57.0,55.0,68.0,91.0
89,69.0,57.0,54.0,42.0,57.0,55.0,68.0,91.0,101.0
90,87.0,90.0,90.0,88.0,84.0,91.0,89.0,90.0,96.0
91,90.0,90.0,88.0,84.0,91.0,89.0,90.0,96.0,101.0
92,93.0,80.0,63.0,58.0,53.0,52.0,54.0,57.0,63.0
93,80.0,63.0,58.0,53.0,52.0,54.0,57.0,63.0,76.0
94,63.0,58.0,53.0,52.0,54.0,57.0,63.0,76.0,94.0
95,58.0,53.0,52.0,54.0,57.0,63.0,76.0,94.0,101.0
96,89.0,74.0,75.0,56.0,52.0,44.0,57.0,40.0,36.0
97,74.0,75.0,56.0,52.0,44.0,57.0,40.0,36.0,27.0
98,75.0,56.0,52.0,44.0,57.0,40.0,36.0,27.0,25.0
99,56.0,52.0,44.0,57.0,40.0,36.0,27.0,25.0,24.0
100,52.0,44.0,57.0,40.0,36.0,27.0,25.0,24.0,26.0
101,44.0,57.0,40.0,36.0,27.0,25.0,24.0,26.0,25.0
102,57.0,40.0,36.0,27.0,25.0,24.0,26.0,25.0,27.0
103,40.0,36.0,27.0,25.0,24.0,26.0,25.0,27.0,29.0
104,36.0,27.0,25.0,24.0,26.0,25.0,27.0,29.0,35.0
105,27.0,25.0,24.0,26.0,25.0,27.0,29.0,35.0,34.0
106,25.0,24.0,26.0,25.0,27.0,29.0,35.0,34.0,32.0
107,24.0,26.0,25.0,27.0,29.0,35.0,34.0,32.0,34.0
108,26.0,25.0,27.0,29.0,35.0,34.0,32.0,34.0,36.0
109,25.0,27.0,29.0,35.0,34.0,32.0,34.0,36.0,34.0
110,27.0,29.0,35.0,34.0,32.0,34.0,36.0,34.0,36.0
111,29.0,35.0,34.0,32.0,34.0,36.0,34.0,36.0,43.0
112,35.0,34.0,32.0,34.0,36.0,34.0,36.0,43.0,101.0
113,93.0,71.0,62.0,67.0,46.0,44.0,40.0,29.0,25.0
114,71.0,62.0,67.0,46.0,44.0,40.0,29.0,25.0,21.0
115,62.0,67.0,46.0,44.0,40.0,29.0,25.0,21.0,18.0
116,67.0,46.0,44.0,40.0,29.0,25.0,21.0,18.0,18.0
117,46.0,44.0,40.0,29.0,25.0,21.0,18.0,18.0,18.0
118,97.0,81.0,76.0,64.0,65.0,61.0,54.0,45.0,43.0
119,81.0,76.0,64.0,65.0,61.0,54.0,45.0,43.0,51.0
120,76.0,64.0,65.0,61.0,54.0,45.0,43.0,51.0,51.0
121,64.0,65.0,61.0,54.0,45.0,43.0,51.0,51.0,46.0
122,65.0,61.0,54.0,45.0,43.0,51.0,51.0,46.0,49.0
123,61.0,54.0,45.0,43.0,51.0,51.0,46.0,49.0,50.0
124,54.0,45.0,43.0,51.0,51.0,46.0,49.0,50.0,46.0
125,45.0,43.0,51.0,51.0,46.0,49.0,50.0,46.0,48.0
126,43.0,51.0,51.0,46.0,49.0,50.0,46.0,48.0,48.0
127,51.0,51.0,46.0,49.0,50.0,46.0,48.0,48.0,52.0
128,51.0,46.0,49.0,50.0,46.0,48.0,48.0,52.0,56.0
129,46.0,49.0,50.0,46.0,48.0,48.0,52.0,56.0,62.0
130,49.0,50.0,46.0,48.0,48.0,52.0,56.0,62.0,101.0
131,50.0,67.0,68.0,60.0,49.0,41.0,41.0,36.0,33.0
132,67.0,68.0,60.0,49.0,41.0,41.0,36.0,33.0,31.0
133,68.0,60.0,49.0,41.0,41.0,36.0,33.0,31.0,33.0
134,60.0,49.0,41.0,41.0,36.0,33.0,31.0,33.0,42.0
135,49.0,41.0,41.0,36.0,33.0,31.0,33.0,42.0,69.0
136,41.0,41.0,36.0,33.0,31.0,33.0,42.0,69.0,88.0
137,41.0,36.0,33.0,31.0,33.0,42.0,69.0,88.0,101.0
138,64.0,26.0,33.0,34.0,32.0,24.0,20.0,21.0,25.0
139,26.0,33.0,34.0,32.0,24.0,20.0,21.0,25.0,26.0
140,33.0,34.0,32.0,24.0,20.0,21.0,25.0,26.0,23.0
141,34.0,32.0,24.0,20.0,21.0,25.0,26.0,23.0,24.0
142,32.0,24.0,20.0,21.0,25.0,26.0,23.0,24.0,26.0
