,diff_0,diff_1,diff_2,diff_3,diff_4,diff_5,diff_6,target
123,28.0,21.0,21.0,8.0,8.0,12.0,14.0,18.0
124,21.0,21.0,8.0,8.0,12.0,14.0,18.0,24.0
125,21.0,8.0,8.0,12.0,14.0,18.0,24.0,29.0
126,8.0,8.0,12.0,14.0,18.0,24.0,29.0,27.0
127,8.0,12.0,14.0,18.0,24.0,29.0,27.0,42.0
128,12.0,14.0,18.0,24.0,29.0,27.0,42.0,44.0
129,14.0,18.0,24.0,29.0,27.0,42.0,44.0,101.0
130,24.0,24.0,30.0,36.0,37.0,30.0,23.0,21.0
131,24.0,30.0,36.0,37.0,30.0,23.0,21.0,17.0
132,30.0,36.0,37.0,30.0,23.0,21.0,17.0,17.0
133,36.0,37.0,30.0,23.0,21.0,17.0,17.0,15.0
134,37.0,30.0,23.0,21.0,17.0,17.0,15.0,11.0
135,30.0,23.0,21.0,17.0,17.0,15.0,11.0,11.0
136,23.0,21.0,17.0,17.0,15.0,11.0,11.0,10.0
137,21.0,17.0,17.0,15.0,11.0,11.0,10.0,7.0
138,17.0,17.0,15.0,11.0,11.0,10.0,7.0,7.0
139,17.0,15.0,11.0,11.0,10.0,7.0,7.0,8.0
140,15.0,11.0,11.0,10.0,7.0,7.0,8.0,10.0
141,11.0,11.0,10.0,7.0,7.0,8.0,10.0,11.0
142,11.0,10.0,7.0,7.0,8.0,10.0,11.0,12.0
143,10.0,7.0,7.0,8.0,10.0,11.0,12.0,12.0
144,7.0,7.0,8.0,10.0,11.0,12.0,12.0,17.0
145,7.0,8.0,10.0,11.0,12.0,12.0,17.0,19.0
146,8.0,10.0,11.0,12.0,12.0,17.0,19.0,23.0
147,10.0,11.0,12.0,12.0,17.0,19.0,23.0,33.0
148,11.0,12.0,12.0,17.0,19.0,23.0,33.0,37.0
149,12.0,12.0,17.0,19.0,23.0,33.0,37.0,36.0
150,12.0,17.0,19.0,23.0,33.0,37.0,36.0,49.0
151,17.0,19.0,23.0,33.0,37.0,36.0,49.0,101.0
152,84.0,78.0,74.0,74.0,77.0,79.0,76.0,70.0
153,78.0,74.0,74.0,77.0,79.0,76.0,70.0,70.0
154,74.0,74.0,77.0,79.0,76.0,70.0,70.0,73.0
155,74.0,77.0,79.0,76.0,70.0,70.0,73.0,71.0
156,77.0,79.0,76.0,70.0,70.0,73.0,71.0,77.0
157,79.0,76.0,70.0,70.0,73.0,71.0,77.0,81.0
158,76.0,70.0,70.0,73.0,71.0,77.0,81.0,67.0
159,70.0,70.0,73.0,71.0,77.0,81.0,67.0,68.0
160,70.0,73.0,71.0,77.0,81.0,67.0,68.0,67.0
161,73.0,71.0,77.0,81.0,67.0,68.0,67.0,78.0
162,71.0,77.0,81.0,67.0,68.0,67.0,78.0,91.0
163,77.0,81.0,67.0,68.0,67.0,78.0,91.0,91.0
164,81.0,67.0,68.0,67.0,78.0,91.0,91.0,96.0
165,67.0,68.0,67.0,78.0,91.0,91.0,96.0,101.0
166,75.0,68.0,63.0,60.0,55.0,55.0,55.0,64.0
167,68.0,63.0,60.0,55.0,55.0,55.0,64.0,64.0
168,63.0,60.0,55.0,55.0,55.0,64.0,64.0,67.0
169,60.0,55.0,55.0,55.0,64.0,64.0,67.0,71.0
170,55.0,55.0,55.0,64.0,64.0,67.0,71.0,75.0
171,55.0,55.0,64.0,64.0,67.0,71.0,75.0,71.0
172,55.0,64.0,64.0,67.0,71.0,75.0,71.0,71.0
173,64.0,64.0,67.0,71.0,75.0,71.0,71.0,73.0
174,64.0,67.0,71.0,75.0,71.0,71.0,73.0,70.0
175,67.0,71.0,75.0,71.0,71.0,73.0,70.0,68.0
176,71.0,75.0,71.0,71.0,73.0,70.0,68.0,67.0
177,75.0,71.0,71.0,73.0,70.0,68.0,67.0,69.0
178,71.0,71.0,73.0,70.0,68.0,67.0,69.0,66.0
179,71.0,73.0,70.0,68.0,67.0,69.0,66.0,101.0
180,74.0,54.0,42.0,40.0,35.0,35.0,35.0,35.0
181,54.0,42.0,40.0,35.0,35.0,35.0,35.0,35.0
182,42.0,40.0,35.0,35.0,35.0,35.0,35.0,39.0
183,40.0,35.0,35.0,35.0,35.0,35.0,39.0,37.0
184,35.0,35.0,35.0,35.0,35.0,39.0,37.0,37.0
185,35.0,35.0,35.0,35.0,39.0,37.0,37.0,37.0
186,35.0,35.0,35.0,39.0,37.0,37.0,37.0,59.0
187,35.0,35.0,39.0,37.0,37.0,37.0,59.0,64.0
188,35.0,39.0,37.0,37.0,37.0,59.0,64.0,67.0
189,39.0,37.0,37.0,37.0,59.0,64.0,67.0,71.0
190,37.0,37.0,37.0,59.0,64.0,67.0,71.0,82.0
191,37.0,37.0,59.0,64.0,67.0,71.0,82.0,84.0
192,37.0,59.0,64.0,67.0,71.0,82.0,84.0,98.0
193,59.0,64.0,67.0,71.0,82.0,84.0,98.0,101.0
194,81.0,97.0,98.0,93.0,86.0,95.0,95.0,101.0
195,97.0,88.0,85.0,83.0,84.0,81.0,72.0,44.0
196,88.0,85.0,83.0,84.0,81.0,72.0,44.0,54.0
197,85.0,83.0,84.0,81.0,72.0,44.0,54.0,55.0
198,83.0,84.0,81.0,72.0,44.0,54.0,55.0,51.0
199,84.0,81.0,72.0,44.0,54.0,55.0,51.0,48.0
200,81.0,72.0,44.0,54.0,55.0,51.0,48.0,45.0
