,diff_0,diff_1,target
515,23.0,31.0,37.0
516,31.0,37.0,41.0
517,37.0,41.0,46.0
518,41.0,46.0,101.0
519,92.0,96.0,96.0
520,96.0,96.0,98.0
521,96.0,98.0,100.0
522,98.0,100.0,101.0
523,45.0,52.0,34.0
524,52.0,34.0,37.0
525,34.0,37.0,101.0
526,98.0,96.0,80.0
527,96.0,80.0,88.0
528,80.0,88.0,90.0
529,88.0,90.0,81.0
530,90.0,81.0,86.0
531,81.0,86.0,86.0
532,86.0,86.0,93.0
533,86.0,93.0,68.0
534,93.0,68.0,84.0
535,68.0,84.0,101.0
536,67.0,61.0,60.0
537,61.0,60.0,53.0
538,60.0,53.0,51.0
539,53.0,51.0,48.0
540,51.0,48.0,44.0
541,48.0,44.0,38.0
542,44.0,38.0,40.0
543,38.0,40.0,43.0
544,40.0,43.0,52.0
545,43.0,52.0,56.0
546,52.0,56.0,63.0
547,56.0,63.0,70.0
548,63.0,70.0,85.0
549,70.0,85.0,91.0
550,85.0,91.0,90.0
551,3.0,3.0,4.0
552,3.0,4.0,4.0
553,4.0,4.0,4.0
554,4.0,4.0,7.0
555,4.0,7.0,9.0
556,7.0,9.0,14.0
557,9.0,14.0,18.0
558,14.0,18.0,16.0
559,18.0,16.0,19.0
560,16.0,19.0,21.0
561,19.0,21.0,24.0
562,21.0,24.0,27.0
563,24.0,27.0,28.0
564,27.0,28.0,34.0
565,28.0,34.0,38.0
566,88.0,73.0,67.0
567,73.0,67.0,57.0
568,67.0,57.0,58.0
569,57.0,58.0,51.0
570,58.0,51.0,44.0
571,68.0,64.0,101.0
572,71.0,71.0,69.0
573,71.0,69.0,64.0
574,69.0,64.0,58.0
575,64.0,58.0,56.0
576,58.0,56.0,59.0
577,56.0,59.0,73.0
578,59.0,73.0,101.0
579,52.0,46.0,33.0
580,46.0,33.0,28.0
581,33.0,28.0,22.0
582,28.0,22.0,20.0
583,22.0,20.0,24.0
584,20.0,24.0,25.0
585,24.0,25.0,26.0
586,25.0,26.0,28.0
587,26.0,28.0,37.0
588,28.0,37.0,51.0
589,37.0,51.0,61.0
590,51.0,61.0,71.0
591,61.0,71.0,82.0
592,71.0,82.0,88.0
593,82.0,88.0,86.0
594,87.0,81.0,79.0
595,81.0,79.0,78.0
596,79.0,78.0,72.0
597,78.0,72.0,72.0
598,72.0,72.0,67.0
599,72.0,67.0,67.0
600,67.0,67.0,56.0
601,67.0,56.0,52.0
602,74.0,73.0,70.0
603,73.0,70.0,65.0
604,70.0,65.0,57.0
605,65.0,57.0,59.0
606,57.0,59.0,56.0
607,59.0,56.0,68.0
608,56.0,68.0,75.0
609,68.0,75.0,90.0
610,75.0,90.0,99.0
611,90.0,99.0,99.0
612,99.0,99.0,101.0
613,79.0,59.0,48.0
614,59.0,48.0,33.0
615,48.0,33.0,24.0
616,33.0,24.0,15.0
617,24.0,15.0,14.0
618,15.0,14.0,10.0
619,14.0,10.0,11.0
620,10.0,11.0,10.0
621,11.0,10.0,9.0
622,51.0,59.0,59.0
623,59.0,59.0,58.0
624,59.0,58.0,67.0
625,58.0,67.0,67.0
626,67.0,67.0,75.0
627,67.0,75.0,101.0
628,19.0,12.0,15.0
629,12.0,15.0,20.0
630,15.0,20.0,16.0
631,20.0,16.0,15.0
632,16.0,15.0,13.0
633,15.0,13.0,13.0
634,13.0,13.0,16.0
635,13.0,16.0,14.0
636,16.0,14.0,15.0
637,14.0,15.0,19.0
638,15.0,19.0,28.0
639,19.0,28.0,36.0
640,28.0,36.0,47.0
641,36.0,47.0,52.0
642,47.0,52.0,101.0
643,84.0,79.0,68.0
644,79.0,68.0,55.0
645,68.0,55.0,48.0
646,55.0,48.0,57.0
647,48.0,57.0,52.0
648,57.0,52.0,51.0
649,52.0,51.0,64.0
650,51.0,64.0,86.0
651,64.0,86.0,94.0
652,86.0,94.0,101.0
653,69.0,65.0,66.0
654,65.0,66.0,73.0
655,66.0,73.0,74.0
656,73.0,74.0,78.0
657,74.0,78.0,79.0
658,78.0,79.0,69.0
659,14.0,13.0,12.0
660,13.0,12.0,13.0
661,12.0,13.0,12.0
662,13.0,12.0,12.0
663,12.0,12.0,14.0
664,12.0,14.0,20.0
665,14.0,20.0,22.0
666,20.0,22.0,22.0
667,22.0,22.0,23.0
668,22.0,23.0,24.0
669,23.0,24.0,22.0
670,24.0,22.0,23.0
671,22.0,23.0,24.0
672,23.0,24.0,27.0
673,24.0,27.0,32.0
674,58.0,75.0,78.0
675,75.0,78.0,88.0
676,78.0,88.0,82.0
677,88.0,82.0,88.0
678,82.0,88.0,93.0
679,88.0,93.0,101.0
680,17.0,25.0,28.0
681,25.0,28.0,33.0
682,28.0,33.0,31.0
683,33.0,31.0,32.0
684,31.0,32.0,36.0
685,32.0,36.0,36.0
686,36.0,36.0,41.0
687,36.0,41.0,46.0
688,41.0,46.0,49.0
689,46.0,49.0,49.0
690,49.0,49.0,48.0
691,49.0,48.0,101.0
692,98.0,90.0,90.0
693,90.0,90.0,87.0
694,90.0,87.0,86.0
695,87.0,86.0,75.0
696,86.0,75.0,80.0
697,75.0,80.0,75.0
698,80.0,75.0,38.0
699,75.0,38.0,35.0
700,38.0,35.0,52.0
701,35.0,52.0,50.0
702,52.0,50.0,38.0
703,50.0,38.0,35.0
704,38.0,35.0,30.0
705,98.0,95.0,84.0
706,55.0,93.0,73.0
707,10.0,10.0,10.0
708,10.0,10.0,10.0
709,10.0,10.0,10.0
710,10.0,10.0,9.0
711,10.0,9.0,11.0
712,9.0,11.0,15.0
713,11.0,15.0,20.0
714,15.0,20.0,27.0
715,20.0,27.0,29.0
716,27.0,29.0,31.0
717,29.0,31.0,37.0
718,31.0,37.0,42.0
719,37.0,42.0,46.0
720,42.0,46.0,41.0
721,46.0,41.0,46.0
722,77.0,89.0,101.0
723,99.0,89.0,83.0
724,89.0,83.0,82.0
725,83.0,82.0,86.0
726,82.0,86.0,88.0
727,86.0,88.0,85.0
728,88.0,85.0,79.0
729,33.0,37.0,46.0
730,37.0,46.0,40.0
731,46.0,40.0,45.0
732,40.0,45.0,49.0
733,45.0,49.0,48.0
734,49.0,48.0,101.0
735,75.0,86.0,87.0
736,86.0,87.0,79.0
737,87.0,79.0,67.0
738,79.0,67.0,47.0
739,5.0,4.0,3.0
740,4.0,3.0,3.0
741,3.0,3.0,3.0
742,3.0,3.0,3.0
743,3.0,3.0,2.0
744,3.0,2.0,1.0
745,2.0,1.0,2.0
746,1.0,2.0,1.0
747,2.0,1.0,2.0
748,1.0,2.0,2.0
749,2.0,2.0,2.0
750,2.0,2.0,2.0
751,2.0,2.0,2.0
752,2.0,2.0,3.0
753,2.0,3.0,5.0
754,52.0,59.0,53.0
755,59.0,53.0,56.0
756,53.0,56.0,43.0
757,56.0,43.0,35.0
758,43.0,35.0,29.0
759,35.0,29.0,28.0
760,54.0,68.0,101.0
761,97.0,80.0,100.0
762,36.0,40.0,36.0
763,40.0,36.0,35.0
764,36.0,35.0,29.0
765,35.0,29.0,19.0
766,29.0,19.0,16.0
767,19.0,16.0,12.0
768,16.0,12.0,10.0
769,12.0,10.0,8.0
770,10.0,8.0,8.0
771,8.0,8.0,7.0
772,8.0,7.0,7.0
773,7.0,7.0,7.0
774,7.0,7.0,7.0
775,7.0,7.0,7.0
776,7.0,7.0,8.0
777,95.0,88.0,79.0
778,88.0,79.0,73.0
779,79.0,73.0,70.0
780,73.0,70.0,57.0
781,70.0,57.0,50.0
782,57.0,50.0,31.0
783,50.0,31.0,26.0
784,31.0,26.0,20.0
785,26.0,20.0,22.0
786,85.0,80.0,78.0
787,80.0,78.0,82.0
788,78.0,82.0,84.0
789,82.0,84.0,83.0
790,84.0,83.0,78.0
791,100.0,96.0,94.0
792,96.0,94.0,83.0
793,94.0,83.0,81.0
794,83.0,81.0,77.0
795,85.0,84.0,88.0
796,84.0,88.0,86.0
797,88.0,86.0,84.0
798,86.0,84.0,74.0
799,92.0,84.0,86.0
800,84.0,86.0,85.0
801,86.0,85.0,85.0
802,85.0,85.0,101.0
803,91.0,71.0,65.0
804,71.0,65.0,63.0
805,65.0,63.0,55.0
806,63.0,55.0,55.0
807,55.0,55.0,51.0
808,55.0,51.0,53.0
809,51.0,53.0,53.0
810,53.0,53.0,50.0
811,55.0,51.0,37.0
812,51.0,37.0,34.0
813,37.0,34.0,32.0
814,34.0,32.0,23.0
815,32.0,23.0,12.0
816,23.0,12.0,5.0
817,12.0,5.0,8.0
818,5.0,8.0,5.0
819,8.0,5.0,5.0
820,5.0,5.0,5.0
821,5.0,5.0,4.0
822,5.0,4.0,4.0
823,4.0,4.0,5.0
824,4.0,5.0,4.0
825,5.0,4.0,6.0
826,91.0,84.0,74.0
827,84.0,74.0,64.0
828,74.0,64.0,66.0
829,64.0,66.0,68.0
830,66.0,68.0,71.0
831,68.0,71.0,64.0
832,71.0,64.0,59.0
833,83.0,58.0,34.0
834,58.0,34.0,22.0
835,34.0,22.0,19.0
836,22.0,19.0,17.0
837,19.0,17.0,15.0
838,82.0,80.0,71.0
839,80.0,71.0,60.0
840,71.0,60.0,64.0
841,60.0,64.0,76.0
842,64.0,76.0,87.0
843,76.0,87.0,101.0
844,73.0,69.0,62.0
845,69.0,62.0,61.0
846,37.0,36.0,40.0
