,diff_0,diff_1,diff_2,diff_3,target
208,77.0,81.0,67.0,68.0,67.0
209,81.0,67.0,68.0,67.0,78.0
210,67.0,68.0,67.0,78.0,91.0
211,68.0,67.0,78.0,91.0,91.0
212,67.0,78.0,91.0,91.0,96.0
213,78.0,91.0,91.0,96.0,101.0
214,75.0,68.0,63.0,60.0,55.0
215,68.0,63.0,60.0,55.0,55.0
216,63.0,60.0,55.0,55.0,55.0
217,60.0,55.0,55.0,55.0,64.0
218,55.0,55.0,55.0,64.0,64.0
219,55.0,55.0,64.0,64.0,67.0
220,55.0,64.0,64.0,67.0,71.0
221,64.0,64.0,67.0,71.0,75.0
222,64.0,67.0,71.0,75.0,71.0
223,67.0,71.0,75.0,71.0,71.0
224,71.0,75.0,71.0,71.0,73.0
225,75.0,71.0,71.0,73.0,70.0
226,71.0,71.0,73.0,70.0,68.0
227,71.0,73.0,70.0,68.0,67.0
228,73.0,70.0,68.0,67.0,69.0
229,70.0,68.0,67.0,69.0,66.0
230,68.0,67.0,69.0,66.0,101.0
231,74.0,54.0,42.0,40.0,35.0
232,54.0,42.0,40.0,35.0,35.0
233,42.0,40.0,35.0,35.0,35.0
234,40.0,35.0,35.0,35.0,35.0
235,35.0,35.0,35.0,35.0,35.0
236,35.0,35.0,35.0,35.0,39.0
237,35.0,35.0,35.0,39.0,37.0
238,35.0,35.0,39.0,37.0,37.0
239,35.0,39.0,37.0,37.0,37.0
240,39.0,37.0,37.0,37.0,59.0
241,37.0,37.0,37.0,59.0,64.0
242,37.0,37.0,59.0,64.0,67.0
243,37.0,59.0,64.0,67.0,71.0
244,59.0,64.0,67.0,71.0,82.0
245,64.0,67.0,71.0,82.0,84.0
246,67.0,71.0,82.0,84.0,98.0
247,71.0,82.0,84.0,98.0,101.0
248,81.0,97.0,98.0,93.0,86.0
249,97.0,98.0,93.0,86.0,95.0
250,98.0,93.0,86.0,95.0,95.0
251,93.0,86.0,95.0,95.0,101.0
252,33.0,33.0,46.0,64.0,78.0
253,33.0,46.0,64.0,78.0,92.0
254,46.0,64.0,78.0,92.0,101.0
255,35.0,70.0,91.0,100.0,101.0
256,97.0,88.0,85.0,83.0,84.0
257,88.0,85.0,83.0,84.0,81.0
258,85.0,83.0,84.0,81.0,72.0
259,83.0,84.0,81.0,72.0,44.0
260,84.0,81.0,72.0,44.0,54.0
261,81.0,72.0,44.0,54.0,55.0
262,72.0,44.0,54.0,55.0,51.0
263,44.0,54.0,55.0,51.0,48.0
264,54.0,55.0,51.0,48.0,45.0
265,55.0,51.0,48.0,45.0,43.0
266,51.0,48.0,45.0,43.0,40.0
267,48.0,45.0,43.0,40.0,36.0
268,45.0,43.0,40.0,36.0,36.0
269,43.0,40.0,36.0,36.0,34.0
270,40.0,36.0,36.0,34.0,39.0
271,36.0,36.0,34.0,39.0,46.0
272,36.0,34.0,39.0,46.0,101.0
273,40.0,37.0,33.0,31.0,36.0
274,37.0,33.0,31.0,36.0,37.0
275,33.0,31.0,36.0,37.0,42.0
276,31.0,36.0,37.0,42.0,52.0
277,36.0,37.0,42.0,52.0,61.0
278,37.0,42.0,52.0,61.0,81.0
279,42.0,52.0,61.0,81.0,87.0
280,52.0,61.0,81.0,87.0,96.0
281,61.0,81.0,87.0,96.0,101.0
282,33.0,42.0,56.0,70.0,90.0
283,42.0,56.0,70.0,90.0,101.0
284,82.0,80.0,78.0,78.0,75.0
285,80.0,78.0,78.0,75.0,78.0
286,78.0,78.0,75.0,78.0,72.0
287,78.0,75.0,78.0,72.0,72.0
288,75.0,78.0,72.0,72.0,78.0
289,78.0,72.0,72.0,78.0,82.0
290,72.0,72.0,78.0,82.0,93.0
291,72.0,78.0,82.0,93.0,101.0
292,95.0,89.0,89.0,96.0,100.0
293,89.0,89.0,96.0,100.0,101.0
