,diff_0,target
275,55.0,64.0
276,64.0,64.0
277,64.0,67.0
278,67.0,71.0
279,71.0,75.0
280,75.0,71.0
281,71.0,71.0
282,71.0,73.0
283,73.0,70.0
284,70.0,68.0
285,68.0,67.0
286,67.0,69.0
287,69.0,66.0
288,66.0,101.0
289,74.0,54.0
290,54.0,42.0
291,42.0,40.0
292,40.0,35.0
293,35.0,35.0
294,35.0,35.0
295,35.0,35.0
296,35.0,35.0
297,35.0,39.0
298,39.0,37.0
299,37.0,37.0
300,37.0,37.0
301,37.0,59.0
302,59.0,64.0
303,64.0,67.0
304,67.0,71.0
305,71.0,82.0
306,82.0,84.0
307,84.0,98.0
308,98.0,101.0
309,98.0,100.0
310,100.0,101.0
311,38.0,101.0
312,82.0,101.0
313,81.0,97.0
314,97.0,98.0
315,98.0,93.0
316,93.0,86.0
317,86.0,95.0
318,95.0,95.0
319,95.0,101.0
320,33.0,33.0
321,33.0,46.0
322,46.0,64.0
323,64.0,78.0
324,78.0,92.0
325,92.0,101.0
326,35.0,70.0
327,70.0,91.0
328,91.0,100.0
329,100.0,101.0
330,97.0,88.0
331,88.0,85.0
332,85.0,83.0
333,83.0,84.0
334,84.0,81.0
335,81.0,72.0
336,72.0,44.0
337,44.0,54.0
338,54.0,55.0
339,55.0,51.0
340,51.0,48.0
341,48.0,45.0
342,45.0,43.0
343,43.0,40.0
344,40.0,36.0
345,36.0,36.0
346,36.0,34.0
347,34.0,39.0
348,39.0,46.0
349,46.0,101.0
350,40.0,37.0
351,37.0,33.0
352,33.0,31.0
353,31.0,36.0
354,36.0,37.0
355,37.0,42.0
356,42.0,52.0
357,52.0,61.0
358,61.0,81.0
359,81.0,87.0
360,87.0,96.0
361,96.0,101.0
362,93.0,68.0
363,68.0,43.0
364,43.0,101.0
365,81.0,65.0
366,65.0,43.0
367,43.0,101.0
368,33.0,42.0
369,42.0,56.0
370,56.0,70.0
371,70.0,90.0
372,90.0,101.0
373,82.0,80.0
374,80.0,78.0
375,78.0,78.0
376,78.0,75.0
377,75.0,78.0
378,78.0,72.0
379,72.0,72.0
380,72.0,78.0
381,78.0,82.0
382,82.0,93.0
383,93.0,101.0
384,95.0,89.0
385,89.0,89.0
386,89.0,96.0
387,96.0,100.0
388,100.0,101.0
389,93.0,87.0
390,87.0,87.0
391,87.0,78.0
392,78.0,77.0
393,77.0,71.0
394,71.0,64.0
395,64.0,70.0
396,70.0,69.0
397,69.0,67.0
398,67.0,60.0
399,60.0,57.0
400,57.0,62.0
401,62.0,63.0
402,63.0,60.0
403,60.0,64.0
404,64.0,63.0
405,63.0,65.0
406,65.0,70.0
407,70.0,71.0
408,71.0,101.0
409,48.0,46.0
410,46.0,44.0
411,44.0,54.0
412,54.0,75.0
413,75.0,84.0
414,84.0,96.0
415,96.0,101.0
416,80.0,67.0
417,67.0,63.0
418,63.0,53.0
419,53.0,48.0
420,48.0,101.0
421,84.0,79.0
422,79.0,73.0
423,73.0,68.0
424,68.0,56.0
425,56.0,54.0
426,54.0,49.0
427,49.0,41.0
428,41.0,40.0
429,40.0,34.0
430,34.0,33.0
431,33.0,31.0
432,31.0,30.0
433,30.0,30.0
434,30.0,38.0
435,38.0,44.0
436,44.0,52.0
437,52.0,56.0
438,56.0,62.0
439,62.0,82.0
440,82.0,101.0
441,34.0,29.0
442,29.0,24.0
443,24.0,23.0
444,23.0,16.0
445,16.0,14.0
446,14.0,10.0
447,10.0,14.0
448,14.0,17.0
449,17.0,18.0
450,18.0,23.0
451,23.0,36.0
452,36.0,53.0
453,53.0,76.0
454,76.0,89.0
455,89.0,73.0
456,73.0,87.0
457,87.0,99.0
458,99.0,101.0
459,27.0,39.0
460,39.0,69.0
461,69.0,83.0
462,83.0,87.0
463,87.0,84.0
464,84.0,71.0
465,71.0,39.0
466,39.0,55.0
467,55.0,59.0
468,59.0,68.0
469,68.0,77.0
470,77.0,88.0
471,88.0,86.0
472,86.0,90.0
473,90.0,99.0
474,99.0,97.0
475,97.0,95.0
476,95.0,92.0
477,92.0,98.0
478,98.0,101.0
479,82.0,87.0
480,87.0,84.0
481,84.0,87.0
482,87.0,81.0
483,81.0,85.0
484,85.0,76.0
485,76.0,77.0
486,77.0,83.0
487,83.0,101.0
488,41.0,67.0
489,67.0,75.0
490,75.0,89.0
491,89.0,75.0
492,75.0,81.0
493,81.0,88.0
494,88.0,93.0
495,93.0,100.0
496,100.0,100.0
497,100.0,97.0
498,97.0,101.0
499,17.0,14.0
500,14.0,18.0
501,18.0,9.0
502,9.0,8.0
503,8.0,5.0
504,5.0,4.0
505,4.0,4.0
506,4.0,4.0
507,4.0,3.0
508,3.0,1.0
509,1.0,1.0
510,1.0,2.0
511,2.0,2.0
512,2.0,4.0
513,4.0,5.0
514,5.0,8.0
515,8.0,11.0
516,11.0,13.0
517,13.0,14.0
518,14.0,17.0
519,17.0,19.0
520,19.0,20.0
521,20.0,21.0
