,diff_0,diff_1,diff_2,diff_3,diff_4,diff_5,diff_6,diff_7,diff_8,target
106,77.0,81.0,67.0,68.0,67.0,78.0,91.0,91.0,96.0,101.0
107,75.0,68.0,63.0,60.0,55.0,55.0,55.0,64.0,64.0,67.0
108,68.0,63.0,60.0,55.0,55.0,55.0,64.0,64.0,67.0,71.0
109,63.0,60.0,55.0,55.0,55.0,64.0,64.0,67.0,71.0,75.0
110,60.0,55.0,55.0,55.0,64.0,64.0,67.0,71.0,75.0,71.0
111,55.0,55.0,55.0,64.0,64.0,67.0,71.0,75.0,71.0,71.0
112,55.0,55.0,64.0,64.0,67.0,71.0,75.0,71.0,71.0,73.0
113,55.0,64.0,64.0,67.0,71.0,75.0,71.0,71.0,73.0,70.0
114,64.0,64.0,67.0,71.0,75.0,71.0,71.0,73.0,70.0,68.0
115,64.0,67.0,71.0,75.0,71.0,71.0,73.0,70.0,68.0,67.0
116,67.0,71.0,75.0,71.0,71.0,73.0,70.0,68.0,67.0,69.0
117,71.0,75.0,71.0,71.0,73.0,70.0,68.0,67.0,69.0,66.0
118,75.0,71.0,71.0,73.0,70.0,68.0,67.0,69.0,66.0,101.0
119,74.0,54.0,42.0,40.0,35.0,35.0,35.0,35.0,35.0,39.0
120,54.0,42.0,40.0,35.0,35.0,35.0,35.0,35.0,39.0,37.0
121,42.0,40.0,35.0,35.0,35.0,35.0,35.0,39.0,37.0,37.0
122,40.0,35.0,35.0,35.0,35.0,35.0,39.0,37.0,37.0,37.0
123,35.0,35.0,35.0,35.0,35.0,39.0,37.0,37.0,37.0,59.0
124,35.0,35.0,35.0,35.0,39.0,37.0,37.0,37.0,59.0,64.0
125,35.0,35.0,35.0,39.0,37.0,37.0,37.0,59.0,64.0,67.0
126,35.0,35.0,39.0,37.0,37.0,37.0,59.0,64.0,67.0,71.0
127,35.0,39.0,37.0,37.0,37.0,59.0,64.0,67.0,71.0,82.0
128,39.0,37.0,37.0,37.0,59.0,64.0,67.0,71.0,82.0,84.0
129,37.0,37.0,37.0,59.0,64.0,67.0,71.0,82.0,84.0,98.0
130,37.0,37.0,59.0,64.0,67.0,71.0,82.0,84.0,98.0,101.0
131,40.0,37.0,33.0,31.0,36.0,37.0,42.0,52.0,61.0,81.0
132,37.0,33.0,31.0,36.0,37.0,42.0,52.0,61.0,81.0,87.0
133,33.0,31.0,36.0,37.0,42.0,52.0,61.0,81.0,87.0,96.0
134,31.0,36.0,37.0,42.0,52.0,61.0,81.0,87.0,96.0,101.0
135,82.0,80.0,78.0,78.0,75.0,78.0,72.0,72.0,78.0,82.0
136,80.0,78.0,78.0,75.0,78.0,72.0,72.0,78.0,82.0,93.0
137,78.0,78.0,75.0,78.0,72.0,72.0,78.0,82.0,93.0,101.0
138,93.0,87.0,87.0,78.0,77.0,71.0,64.0,70.0,69.0,67.0
139,87.0,87.0,78.0,77.0,71.0,64.0,70.0,69.0,67.0,60.0
140,87.0,78.0,77.0,71.0,64.0,70.0,69.0,67.0,60.0,57.0
141,78.0,77.0,71.0,64.0,70.0,69.0,67.0,60.0,57.0,62.0
142,77.0,71.0,64.0,70.0,69.0,67.0,60.0,57.0,62.0,63.0
143,71.0,64.0,70.0,69.0,67.0,60.0,57.0,62.0,63.0,60.0
144,64.0,70.0,69.0,67.0,60.0,57.0,62.0,63.0,60.0,64.0
145,70.0,69.0,67.0,60.0,57.0,62.0,63.0,60.0,64.0,63.0
146,69.0,67.0,60.0,57.0,62.0,63.0,60.0,64.0,63.0,65.0
147,67.0,60.0,57.0,62.0,63.0,60.0,64.0,63.0,65.0,70.0
148,60.0,57.0,62.0,63.0,60.0,64.0,63.0,65.0,70.0,71.0
149,57.0,62.0,63.0,60.0,64.0,63.0,65.0,70.0,71.0,101.0
150,84.0,79.0,73.0,68.0,56.0,54.0,49.0,41.0,40.0,34.0
151,79.0,73.0,68.0,56.0,54.0,49.0,41.0,40.0,34.0,33.0
152,73.0,68.0,56.0,54.0,49.0,41.0,40.0,34.0,33.0,31.0
153,68.0,56.0,54.0,49.0,41.0,40.0,34.0,33.0,31.0,30.0
154,56.0,54.0,49.0,41.0,40.0,34.0,33.0,31.0,30.0,30.0
155,54.0,49.0,41.0,40.0,34.0,33.0,31.0,30.0,30.0,38.0
156,49.0,41.0,40.0,34.0,33.0,31.0,30.0,30.0,38.0,44.0
