,week,twitter_per_hour,pos_rate,neg_rate,ratio_pos_neg,favorite_rate,current_rank,date_period,Song_ID,Song_IDN,past_rank_1,past_rank_2,past_rank_3,past_rank_4,past_rank_5,past_rank_6,past_rank_7,past_rank_8,past_rank_9,next_rank
0,1372,2.56110154905,0.0,0.0645161290323,0.333333333333,0.0,101,2016-04-10 ~ 2016-04-16,All I Ask%ADELE,7,101,101,101,101,77,101,101,101,101,101
1,1373,2.81616688396,0.0,0.0,1.0,0.0,101,2016-04-17 ~ 2016-04-23,All I Ask%ADELE,7,101,101,101,101,101,77,101,101,101,101
0,1371,0.00595238095238,0.0,0.0,1.0,0.0,101,2016-04-03 ~ 2016-04-09,American Country Love Song%JAKE OWEN,8,83,101,101,101,101,101,101,101,101,101
1,1372,0.00595238095238,0.0,0.0,1.0,0.0,101,2016-04-10 ~ 2016-04-16,American Country Love Song%JAKE OWEN,8,101,83,101,101,101,101,101,101,101,101
2,1373,0.00595238095238,0.0,0.0,1.0,0.0,101,2016-04-17 ~ 2016-04-23,American Country Love Song%JAKE OWEN,8,101,101,83,101,101,101,101,101,101,101
0,1372,0.00595238095238,0.0,0.0,1.0,0.0,101,2016-04-10 ~ 2016-04-16,Antidote%TRAVI$ SCOTT,9,101,101,47,40,36,32,28,23,19,101
0,1371,0.00595238095238,0.0,0.0,1.0,0.0,101,2016-04-03 ~ 2016-04-09,Antidote%TRAVI$ SCOTT,9,101,47,40,36,32,28,23,19,17,101
0,1373,0.0178571428571,1.0,0.0,4.0,0.0,101,2016-04-17 ~ 2016-04-23,Antidote%TRAVI$ SCOTT,9,101,101,101,47,40,36,32,28,23,101
0,1371,0.00595238095238,0.0,0.0,1.0,0.0,29,2016-04-03 ~ 2016-04-09,Back To Sleep%CHRIS BROWN,10,25,20,36,50,50,51,48,49,51,30
0,1372,1.0848274823,0.833333333333,0.0,6.0,0.0,30,2016-04-10 ~ 2016-04-16,Back To Sleep%CHRIS BROWN,10,29,25,20,36,50,50,51,48,49,37
1,1373,2.50173731758,0.0,0.0,1.0,0.0,37,2016-04-17 ~ 2016-04-23,Back To Sleep%CHRIS BROWN,10,30,29,25,20,36,50,50,51,48,44
0,1371,0.00595238095238,0.0,0.0,1.0,0.0,89,2016-04-03 ~ 2016-04-09,Backroad Song%GRANGER SMITH,11,65,71,60,57,49,55,55,57,65,94
0,1372,0.275345137481,0.75,0.0,4.0,1.25,94,2016-04-10 ~ 2016-04-16,Backroad Song%GRANGER SMITH,11,89,65,71,60,57,49,55,55,57,101
1,1373,0.251032895769,0.25,0.5,0.666666666667,0.0,101,2016-04-17 ~ 2016-04-23,Backroad Song%GRANGER SMITH,11,94,89,65,71,60,57,49,55,55,101
0,1371,0.00595238095238,0.0,0.0,1.0,0.0,101,2016-04-03 ~ 2016-04-09,Bake Sale%WIZ KHALIFA ,12,101,101,101,101,74,101,56,101,101,101
