,diff_0,diff_1,diff_2,diff_3,diff_4,diff_5,diff_6,diff_7,diff_8,target
87,15.0,21.0,24.0,24.0,27.0,32.0,35.0,42.0,42.0,32.0
88,21.0,24.0,24.0,27.0,32.0,35.0,42.0,42.0,32.0,38.0
89,24.0,24.0,27.0,32.0,35.0,42.0,42.0,32.0,38.0,39.0
90,24.0,27.0,32.0,35.0,42.0,42.0,32.0,38.0,39.0,45.0
91,27.0,32.0,35.0,42.0,42.0,32.0,38.0,39.0,45.0,50.0
92,32.0,35.0,42.0,42.0,32.0,38.0,39.0,45.0,50.0,101.0
93,99.0,91.0,84.0,78.0,69.0,69.0,68.0,69.0,62.0,62.0
94,91.0,84.0,78.0,69.0,69.0,68.0,69.0,62.0,62.0,60.0
95,84.0,78.0,69.0,69.0,68.0,69.0,62.0,62.0,60.0,60.0
96,78.0,69.0,69.0,68.0,69.0,62.0,62.0,60.0,60.0,55.0
97,69.0,69.0,68.0,69.0,62.0,62.0,60.0,60.0,55.0,56.0
98,31.0,30.0,27.0,23.0,25.0,30.0,40.0,47.0,67.0,70.0
99,30.0,27.0,23.0,25.0,30.0,40.0,47.0,67.0,70.0,75.0
100,27.0,23.0,25.0,30.0,40.0,47.0,67.0,70.0,75.0,101.0
101,89.0,92.0,75.0,73.0,73.0,79.0,68.0,90.0,93.0,98.0
102,92.0,75.0,73.0,73.0,79.0,68.0,90.0,93.0,98.0,100.0
103,75.0,73.0,73.0,79.0,68.0,90.0,93.0,98.0,100.0,101.0
104,86.0,87.0,97.0,76.0,75.0,75.0,71.0,66.0,66.0,58.0
105,87.0,97.0,76.0,75.0,75.0,71.0,66.0,66.0,58.0,60.0
106,97.0,76.0,75.0,75.0,71.0,66.0,66.0,58.0,60.0,69.0
107,76.0,75.0,75.0,71.0,66.0,66.0,58.0,60.0,69.0,101.0
108,25.0,21.0,25.0,25.0,23.0,24.0,25.0,26.0,30.0,30.0
109,21.0,25.0,25.0,23.0,24.0,25.0,26.0,30.0,30.0,35.0
110,25.0,25.0,23.0,24.0,25.0,26.0,30.0,30.0,35.0,39.0
111,25.0,23.0,24.0,25.0,26.0,30.0,30.0,35.0,39.0,38.0
112,23.0,24.0,25.0,26.0,30.0,30.0,35.0,39.0,38.0,41.0
113,24.0,25.0,26.0,30.0,30.0,35.0,39.0,38.0,41.0,43.0
114,25.0,26.0,30.0,30.0,35.0,39.0,38.0,41.0,43.0,44.0
115,26.0,30.0,30.0,35.0,39.0,38.0,41.0,43.0,44.0,45.0
116,20.0,20.0,18.0,21.0,17.0,13.0,15.0,16.0,19.0,17.0
117,20.0,18.0,21.0,17.0,13.0,15.0,16.0,19.0,17.0,16.0
118,18.0,21.0,17.0,13.0,15.0,16.0,19.0,17.0,16.0,17.0
119,21.0,17.0,13.0,15.0,16.0,19.0,17.0,16.0,17.0,19.0
120,17.0,13.0,15.0,16.0,19.0,17.0,16.0,17.0,19.0,19.0
121,13.0,15.0,16.0,19.0,17.0,16.0,17.0,19.0,19.0,21.0
122,15.0,16.0,19.0,17.0,16.0,17.0,19.0,19.0,21.0,23.0
123,16.0,19.0,17.0,16.0,17.0,19.0,19.0,21.0,23.0,24.0
124,68.0,57.0,52.0,48.0,39.0,36.0,31.0,33.0,39.0,21.0
125,57.0,52.0,48.0,39.0,36.0,31.0,33.0,39.0,21.0,18.0
