,diff_0,diff_1,diff_2,diff_3,diff_4,diff_5,diff_6,diff_7,diff_8,target
100,23.0,26.0,28.0,21.0,21.0,8.0,8.0,12.0,14.0,18.0
101,26.0,28.0,21.0,21.0,8.0,8.0,12.0,14.0,18.0,24.0
102,28.0,21.0,21.0,8.0,8.0,12.0,14.0,18.0,24.0,29.0
103,21.0,21.0,8.0,8.0,12.0,14.0,18.0,24.0,29.0,27.0
104,21.0,8.0,8.0,12.0,14.0,18.0,24.0,29.0,27.0,42.0
105,8.0,8.0,12.0,14.0,18.0,24.0,29.0,27.0,42.0,44.0
106,8.0,12.0,14.0,18.0,24.0,29.0,27.0,42.0,44.0,101.0
107,24.0,24.0,30.0,36.0,37.0,30.0,23.0,21.0,17.0,17.0
108,24.0,30.0,36.0,37.0,30.0,23.0,21.0,17.0,17.0,15.0
109,30.0,36.0,37.0,30.0,23.0,21.0,17.0,17.0,15.0,11.0
110,36.0,37.0,30.0,23.0,21.0,17.0,17.0,15.0,11.0,11.0
111,37.0,30.0,23.0,21.0,17.0,17.0,15.0,11.0,11.0,10.0
112,30.0,23.0,21.0,17.0,17.0,15.0,11.0,11.0,10.0,7.0
113,23.0,21.0,17.0,17.0,15.0,11.0,11.0,10.0,7.0,7.0
114,21.0,17.0,17.0,15.0,11.0,11.0,10.0,7.0,7.0,8.0
115,17.0,17.0,15.0,11.0,11.0,10.0,7.0,7.0,8.0,10.0
116,17.0,15.0,11.0,11.0,10.0,7.0,7.0,8.0,10.0,11.0
117,15.0,11.0,11.0,10.0,7.0,7.0,8.0,10.0,11.0,12.0
118,11.0,11.0,10.0,7.0,7.0,8.0,10.0,11.0,12.0,12.0
119,11.0,10.0,7.0,7.0,8.0,10.0,11.0,12.0,12.0,17.0
120,10.0,7.0,7.0,8.0,10.0,11.0,12.0,12.0,17.0,19.0
121,7.0,7.0,8.0,10.0,11.0,12.0,12.0,17.0,19.0,23.0
122,7.0,8.0,10.0,11.0,12.0,12.0,17.0,19.0,23.0,33.0
123,8.0,10.0,11.0,12.0,12.0,17.0,19.0,23.0,33.0,37.0
124,10.0,11.0,12.0,12.0,17.0,19.0,23.0,33.0,37.0,36.0
