,diff_0,diff_1,diff_2,target
213,35.0,42.0,42.0,32.0
214,42.0,42.0,32.0,38.0
215,42.0,32.0,38.0,39.0
216,32.0,38.0,39.0,45.0
217,38.0,39.0,45.0,50.0
218,39.0,45.0,50.0,101.0
219,81.0,97.0,91.0,92.0
220,97.0,91.0,92.0,87.0
221,91.0,92.0,87.0,71.0
222,92.0,87.0,71.0,39.0
223,79.0,84.0,76.0,71.0
224,84.0,76.0,71.0,85.0
225,76.0,71.0,85.0,96.0
226,71.0,85.0,96.0,97.0
227,85.0,96.0,97.0,101.0
228,89.0,77.0,66.0,57.0
229,99.0,91.0,84.0,78.0
230,91.0,84.0,78.0,69.0
231,84.0,78.0,69.0,69.0
232,78.0,69.0,69.0,68.0
233,69.0,69.0,68.0,69.0
234,69.0,68.0,69.0,62.0
235,68.0,69.0,62.0,62.0
236,69.0,62.0,62.0,60.0
237,62.0,62.0,60.0,60.0
238,62.0,60.0,60.0,55.0
239,60.0,60.0,55.0,56.0
240,31.0,30.0,27.0,23.0
241,30.0,27.0,23.0,25.0
242,27.0,23.0,25.0,30.0
243,23.0,25.0,30.0,40.0
244,25.0,30.0,40.0,47.0
245,30.0,40.0,47.0,67.0
246,40.0,47.0,67.0,70.0
247,47.0,67.0,70.0,75.0
248,67.0,70.0,75.0,101.0
249,94.0,85.0,80.0,74.0
250,85.0,80.0,74.0,68.0
251,80.0,74.0,68.0,62.0
252,89.0,92.0,75.0,73.0
253,92.0,75.0,73.0,73.0
254,75.0,73.0,73.0,79.0
255,73.0,73.0,79.0,68.0
256,73.0,79.0,68.0,90.0
257,79.0,68.0,90.0,93.0
258,68.0,90.0,93.0,98.0
259,90.0,93.0,98.0,100.0
260,93.0,98.0,100.0,101.0
261,86.0,87.0,97.0,76.0
262,87.0,97.0,76.0,75.0
263,97.0,76.0,75.0,75.0
264,76.0,75.0,75.0,71.0
265,75.0,75.0,71.0,66.0
266,75.0,71.0,66.0,66.0
267,71.0,66.0,66.0,58.0
268,66.0,66.0,58.0,60.0
269,66.0,58.0,60.0,69.0
270,58.0,60.0,69.0,101.0
271,25.0,21.0,25.0,25.0
272,21.0,25.0,25.0,23.0
273,25.0,25.0,23.0,24.0
274,25.0,23.0,24.0,25.0
275,23.0,24.0,25.0,26.0
276,24.0,25.0,26.0,30.0
277,25.0,26.0,30.0,30.0
278,26.0,30.0,30.0,35.0
279,30.0,30.0,35.0,39.0
280,30.0,35.0,39.0,38.0
281,35.0,39.0,38.0,41.0
282,39.0,38.0,41.0,43.0
283,38.0,41.0,43.0,44.0
284,41.0,43.0,44.0,45.0
285,81.0,76.0,63.0,54.0
286,76.0,63.0,54.0,31.0
287,63.0,54.0,31.0,25.0
288,20.0,20.0,18.0,21.0
289,20.0,18.0,21.0,17.0
290,18.0,21.0,17.0,13.0
291,21.0,17.0,13.0,15.0
292,17.0,13.0,15.0,16.0
293,13.0,15.0,16.0,19.0
294,15.0,16.0,19.0,17.0
295,16.0,19.0,17.0,16.0
296,19.0,17.0,16.0,17.0
297,17.0,16.0,17.0,19.0
298,16.0,17.0,19.0,19.0
299,17.0,19.0,19.0,21.0
300,19.0,19.0,21.0,23.0
301,19.0,21.0,23.0,24.0
302,68.0,57.0,52.0,48.0
303,57.0,52.0,48.0,39.0
304,52.0,48.0,39.0,36.0
305,48.0,39.0,36.0,31.0
306,39.0,36.0,31.0,33.0
307,36.0,31.0,33.0,39.0
308,31.0,33.0,39.0,21.0
309,33.0,39.0,21.0,18.0
310,39.0,21.0,18.0,13.0
311,21.0,18.0,13.0,18.0
312,18.0,13.0,18.0,18.0
313,13.0,18.0,18.0,22.0
314,18.0,18.0,22.0,25.0
315,18.0,22.0,25.0,26.0
316,76.0,89.0,82.0,72.0
317,89.0,82.0,72.0,70.0
318,82.0,72.0,70.0,101.0
319,94.0,69.0,62.0,61.0
320,69.0,62.0,61.0,59.0
321,62.0,61.0,59.0,61.0
322,61.0,59.0,61.0,52.0
323,59.0,61.0,52.0,54.0
324,61.0,52.0,54.0,49.0
325,52.0,54.0,49.0,44.0
326,54.0,49.0,44.0,40.0
327,49.0,44.0,40.0,35.0
328,12.0,17.0,23.0,14.0
329,17.0,23.0,14.0,20.0
330,23.0,14.0,20.0,25.0
331,14.0,20.0,25.0,29.0
332,20.0,25.0,29.0,31.0
333,25.0,29.0,31.0,32.0
334,29.0,31.0,32.0,36.0
335,31.0,32.0,36.0,33.0
336,32.0,36.0,33.0,34.0
337,36.0,33.0,34.0,40.0
338,33.0,34.0,40.0,40.0
339,34.0,40.0,40.0,48.0
340,40.0,40.0,48.0,49.0
341,40.0,48.0,49.0,101.0
342,53.0,48.0,51.0,46.0
343,48.0,51.0,46.0,44.0
344,51.0,46.0,44.0,44.0
345,46.0,44.0,44.0,39.0
346,44.0,44.0,39.0,40.0
347,44.0,39.0,40.0,44.0
348,39.0,40.0,44.0,39.0
349,40.0,44.0,39.0,43.0
350,44.0,39.0,43.0,37.0
351,39.0,43.0,37.0,36.0
352,43.0,37.0,36.0,26.0
353,37.0,36.0,26.0,30.0
