,diff_0,diff_1,diff_2,diff_3,diff_4,diff_5,diff_6,diff_7,target
150,57.0,52.0,48.0,39.0,36.0,31.0,33.0,39.0,21.0
151,52.0,48.0,39.0,36.0,31.0,33.0,39.0,21.0,18.0
152,48.0,39.0,36.0,31.0,33.0,39.0,21.0,18.0,13.0
153,39.0,36.0,31.0,33.0,39.0,21.0,18.0,13.0,18.0
154,36.0,31.0,33.0,39.0,21.0,18.0,13.0,18.0,18.0
155,31.0,33.0,39.0,21.0,18.0,13.0,18.0,18.0,22.0
156,33.0,39.0,21.0,18.0,13.0,18.0,18.0,22.0,25.0
157,39.0,21.0,18.0,13.0,18.0,18.0,22.0,25.0,26.0
158,94.0,69.0,62.0,61.0,59.0,61.0,52.0,54.0,49.0
159,69.0,62.0,61.0,59.0,61.0,52.0,54.0,49.0,44.0
160,62.0,61.0,59.0,61.0,52.0,54.0,49.0,44.0,40.0
161,61.0,59.0,61.0,52.0,54.0,49.0,44.0,40.0,35.0
162,12.0,17.0,23.0,14.0,20.0,25.0,29.0,31.0,32.0
163,17.0,23.0,14.0,20.0,25.0,29.0,31.0,32.0,36.0
164,23.0,14.0,20.0,25.0,29.0,31.0,32.0,36.0,33.0
165,14.0,20.0,25.0,29.0,31.0,32.0,36.0,33.0,34.0
166,20.0,25.0,29.0,31.0,32.0,36.0,33.0,34.0,40.0
167,25.0,29.0,31.0,32.0,36.0,33.0,34.0,40.0,40.0
168,29.0,31.0,32.0,36.0,33.0,34.0,40.0,40.0,48.0
169,31.0,32.0,36.0,33.0,34.0,40.0,40.0,48.0,49.0
170,32.0,36.0,33.0,34.0,40.0,40.0,48.0,49.0,101.0
171,53.0,48.0,51.0,46.0,44.0,44.0,39.0,40.0,44.0
172,48.0,51.0,46.0,44.0,44.0,39.0,40.0,44.0,39.0
173,51.0,46.0,44.0,44.0,39.0,40.0,44.0,39.0,43.0
174,46.0,44.0,44.0,39.0,40.0,44.0,39.0,43.0,37.0
175,44.0,44.0,39.0,40.0,44.0,39.0,43.0,37.0,36.0
176,44.0,39.0,40.0,44.0,39.0,43.0,37.0,36.0,26.0
177,39.0,40.0,44.0,39.0,43.0,37.0,36.0,26.0,30.0
178,40.0,44.0,39.0,43.0,37.0,36.0,26.0,30.0,26.0
179,44.0,39.0,43.0,37.0,36.0,26.0,30.0,26.0,29.0
180,24.0,33.0,35.0,39.0,50.0,53.0,51.0,89.0,101.0
181,100.0,70.0,66.0,62.0,54.0,52.0,56.0,56.0,58.0
182,70.0,66.0,62.0,54.0,52.0,56.0,56.0,58.0,65.0
183,66.0,62.0,54.0,52.0,56.0,56.0,58.0,65.0,77.0
184,62.0,54.0,52.0,56.0,56.0,58.0,65.0,77.0,97.0
185,54.0,52.0,56.0,56.0,58.0,65.0,77.0,97.0,101.0
186,65.0,66.0,65.0,56.0,54.0,61.0,74.0,93.0,101.0
187,86.0,83.0,62.0,62.0,81.0,83.0,70.0,84.0,87.0
188,83.0,62.0,62.0,81.0,83.0,70.0,84.0,87.0,90.0
189,62.0,62.0,81.0,83.0,70.0,84.0,87.0,90.0,101.0
190,77.0,62.0,39.0,42.0,42.0,37.0,21.0,7.0,13.0
191,62.0,39.0,42.0,42.0,37.0,21.0,7.0,13.0,12.0
192,39.0,42.0,42.0,37.0,21.0,7.0,13.0,12.0,11.0
193,42.0,42.0,37.0,21.0,7.0,13.0,12.0,11.0,11.0
194,42.0,37.0,21.0,7.0,13.0,12.0,11.0,11.0,15.0
195,37.0,21.0,7.0,13.0,12.0,11.0,11.0,15.0,13.0
196,21.0,7.0,13.0,12.0,11.0,11.0,15.0,13.0,15.0
197,7.0,13.0,12.0,11.0,11.0,15.0,13.0,15.0,15.0
198,13.0,12.0,11.0,11.0,15.0,13.0,15.0,15.0,17.0
199,76.0,70.0,60.0,58.0,58.0,55.0,42.0,44.0,46.0
200,70.0,60.0,58.0,58.0,55.0,42.0,44.0,46.0,48.0
201,60.0,58.0,58.0,55.0,42.0,44.0,46.0,48.0,56.0
202,58.0,58.0,55.0,42.0,44.0,46.0,48.0,56.0,75.0
203,58.0,55.0,42.0,44.0,46.0,48.0,56.0,75.0,80.0
204,1.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0,5.0
205,1.0,1.0,1.0,2.0,2.0,3.0,4.0,5.0,6.0
206,1.0,1.0,2.0,2.0,3.0,4.0,5.0,6.0,7.0
207,1.0,2.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
208,2.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,11.0
209,2.0,3.0,4.0,5.0,6.0,7.0,8.0,11.0,12.0
210,3.0,4.0,5.0,6.0,7.0,8.0,11.0,12.0,16.0
211,4.0,5.0,6.0,7.0,8.0,11.0,12.0,16.0,19.0
212,5.0,6.0,7.0,8.0,11.0,12.0,16.0,19.0,19.0
213,8.0,8.0,7.0,8.0,9.0,6.0,5.0,10.0,12.0
214,8.0,7.0,8.0,9.0,6.0,5.0,10.0,12.0,19.0
215,7.0,8.0,9.0,6.0,5.0,10.0,12.0,19.0,21.0
216,8.0,9.0,6.0,5.0,10.0,12.0,19.0,21.0,26.0
