,diff_0,diff_1,diff_2,diff_3,diff_4,rank,target
561,-1,-1,0,-1,-1,11.0,-1
562,-1,0,-1,-1,-1,13.0,-1
563,0,-1,-1,-1,-1,15.0,-1
564,-1,-1,-1,-1,-1,23.0,-1
565,-1,-1,-1,-1,-1,26.0,-1
566,-1,-1,-1,-1,-1,28.0,-1
567,-1,-1,-1,-1,-1,30.0,-1
568,-1,-1,-1,-1,-1,33.0,-1
569,-1,-1,-1,-1,-1,39.0,-1
570,-1,-1,-1,-1,-1,45.0,0
571,-1,-1,-1,-1,0,45.0,-1
572,-1,-1,-1,0,-1,46.0,0
573,-1,-1,0,-1,0,46.0,1
574,-1,0,-1,0,1,44.0,-1
575,1,1,1,1,1,11.0,1
576,1,1,1,1,1,9.0,0
577,1,1,1,1,0,9.0,1
578,1,1,1,0,1,8.0,1
579,1,1,0,1,1,5.0,-1
580,1,0,1,1,-1,11.0,0
581,0,1,1,-1,0,11.0,-1
582,1,1,-1,0,-1,13.0,-1
583,1,-1,0,-1,-1,14.0,-1
584,-1,0,-1,-1,-1,15.0,-1
585,0,-1,-1,-1,-1,17.0,-1
586,-1,-1,-1,-1,-1,22.0,-1
587,-1,-1,-1,-1,-1,29.0,-1
588,-1,-1,-1,-1,-1,37.0,-1
589,1,-1,1,1,1,44.0,-1
590,-1,1,1,1,-1,57.0,1
591,1,1,1,-1,1,40.0,1
592,1,1,-1,1,1,36.0,1
593,1,-1,1,1,1,27.0,1
594,-1,1,1,1,1,25.0,1
595,1,1,1,1,1,24.0,-1
596,1,1,1,1,-1,26.0,1
597,1,1,1,-1,1,25.0,-1
598,1,1,-1,1,-1,27.0,-1
599,1,-1,1,-1,-1,29.0,-1
600,-1,1,-1,-1,-1,35.0,1
601,1,-1,-1,-1,1,34.0,1
602,-1,-1,-1,1,1,32.0,-1
603,-1,-1,1,1,-1,34.0,-1
604,-1,1,1,-1,-1,36.0,1
605,1,1,-1,-1,1,34.0,-1
606,1,-1,-1,1,-1,36.0,-1
607,1,1,-1,1,1,44.0,1
608,1,-1,1,1,1,40.0,1
609,-1,1,1,1,1,29.0,1
610,1,1,1,1,1,25.0,1
611,1,1,1,1,1,21.0,1
612,1,1,1,1,1,18.0,0
613,1,1,1,1,0,18.0,0
614,1,1,1,-1,1,61.0,1
615,1,1,-1,1,1,54.0,1
616,1,-1,1,1,1,45.0,1
617,-1,1,1,1,1,43.0,-1
618,1,1,1,1,-1,51.0,0
619,1,1,1,-1,0,51.0,1
620,1,1,-1,0,1,46.0,-1
621,1,-1,0,1,-1,49.0,-1
622,-1,0,1,-1,-1,50.0,1
623,0,1,-1,-1,1,46.0,-1
624,1,-1,-1,1,-1,48.0,0
625,-1,-1,1,-1,0,48.0,-1
626,-1,1,-1,0,-1,52.0,-1
627,1,-1,0,-1,-1,56.0,-1
628,1,1,1,1,1,35.0,1
629,1,1,1,1,1,33.0,1
630,1,1,1,1,1,30.0,-1
631,1,1,1,1,-1,31.0,1
632,1,1,1,-1,1,29.0,0
633,1,1,-1,1,0,29.0,-1
634,1,-1,1,0,-1,34.0,0
635,-1,1,0,-1,0,34.0,1
636,1,0,-1,0,1,33.0,-1
637,0,-1,0,1,-1,35.0,-1
638,-1,0,1,-1,-1,37.0,0
639,0,1,-1,-1,0,37.0,1
640,1,-1,-1,0,1,24.0,-1
641,-1,-1,0,1,-1,27.0,-1
642,-1,0,1,-1,-1,32.0,-1
643,1,0,1,1,0,62.0,-1
644,0,1,1,0,-1,83.0,1
645,1,1,0,-1,1,82.0,1
646,1,0,-1,1,1,81.0,-1
647,0,-1,1,1,-1,97.0,-1
648,-1,1,1,-1,-1,98.0,1
649,1,1,-1,-1,1,95.0,-1
650,-1,-1,1,1,1,41.0,0
651,-1,1,1,1,0,41.0,1
652,1,1,1,0,1,36.0,1
653,1,1,0,1,1,33.0,1
654,1,0,1,1,1,31.0,-1
655,0,1,1,1,-1,33.0,-1
656,1,1,1,-1,-1,42.0,-1
657,1,1,-1,-1,-1,69.0,-1
658,1,1,0,1,-1,26.0,1
659,1,0,1,-1,1,24.0,-1
660,0,1,-1,1,-1,27.0,0
661,1,-1,1,-1,0,27.0,-1
662,-1,1,-1,0,-1,29.0,1
663,1,-1,0,-1,1,28.0,1
664,-1,0,-1,1,1,26.0,1
665,0,-1,1,1,1,22.0,-1
666,-1,1,1,1,-1,31.0,-1
667,1,1,1,-1,-1,43.0,-1
668,1,1,-1,-1,-1,51.0,1
669,1,-1,-1,-1,1,48.0,1
