,diff_0,diff_1,diff_2,diff_3,diff_4,diff_5,diff_6,diff_7,diff_8,diff_9,target
108,12.0,17.0,23.0,14.0,20.0,25.0,29.0,31.0,32.0,36.0,33.0
109,17.0,23.0,14.0,20.0,25.0,29.0,31.0,32.0,36.0,33.0,34.0
110,23.0,14.0,20.0,25.0,29.0,31.0,32.0,36.0,33.0,34.0,40.0
111,14.0,20.0,25.0,29.0,31.0,32.0,36.0,33.0,34.0,40.0,40.0
112,20.0,25.0,29.0,31.0,32.0,36.0,33.0,34.0,40.0,40.0,48.0
113,25.0,29.0,31.0,32.0,36.0,33.0,34.0,40.0,40.0,48.0,49.0
114,29.0,31.0,32.0,36.0,33.0,34.0,40.0,40.0,48.0,49.0,101.0
115,53.0,48.0,51.0,46.0,44.0,44.0,39.0,40.0,44.0,39.0,43.0
116,48.0,51.0,46.0,44.0,44.0,39.0,40.0,44.0,39.0,43.0,37.0
117,51.0,46.0,44.0,44.0,39.0,40.0,44.0,39.0,43.0,37.0,36.0
118,46.0,44.0,44.0,39.0,40.0,44.0,39.0,43.0,37.0,36.0,26.0
119,44.0,44.0,39.0,40.0,44.0,39.0,43.0,37.0,36.0,26.0,30.0
120,44.0,39.0,40.0,44.0,39.0,43.0,37.0,36.0,26.0,30.0,26.0
121,39.0,40.0,44.0,39.0,43.0,37.0,36.0,26.0,30.0,26.0,29.0
122,100.0,70.0,66.0,62.0,54.0,52.0,56.0,56.0,58.0,65.0,77.0
123,70.0,66.0,62.0,54.0,52.0,56.0,56.0,58.0,65.0,77.0,97.0
124,66.0,62.0,54.0,52.0,56.0,56.0,58.0,65.0,77.0,97.0,101.0
125,86.0,83.0,62.0,62.0,81.0,83.0,70.0,84.0,87.0,90.0,101.0
126,77.0,62.0,39.0,42.0,42.0,37.0,21.0,7.0,13.0,12.0,11.0
127,62.0,39.0,42.0,42.0,37.0,21.0,7.0,13.0,12.0,11.0,11.0
128,39.0,42.0,42.0,37.0,21.0,7.0,13.0,12.0,11.0,11.0,15.0
129,42.0,42.0,37.0,21.0,7.0,13.0,12.0,11.0,11.0,15.0,13.0
130,42.0,37.0,21.0,7.0,13.0,12.0,11.0,11.0,15.0,13.0,15.0
131,37.0,21.0,7.0,13.0,12.0,11.0,11.0,15.0,13.0,15.0,15.0
132,21.0,7.0,13.0,12.0,11.0,11.0,15.0,13.0,15.0,15.0,17.0
133,76.0,70.0,60.0,58.0,58.0,55.0,42.0,44.0,46.0,48.0,56.0
134,70.0,60.0,58.0,58.0,55.0,42.0,44.0,46.0,48.0,56.0,75.0
135,60.0,58.0,58.0,55.0,42.0,44.0,46.0,48.0,56.0,75.0,80.0
136,1.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0,5.0,6.0,7.0
137,1.0,1.0,1.0,2.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
138,1.0,1.0,2.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,11.0
139,1.0,2.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,11.0,12.0
140,2.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,11.0,12.0,16.0
141,2.0,3.0,4.0,5.0,6.0,7.0,8.0,11.0,12.0,16.0,19.0
142,3.0,4.0,5.0,6.0,7.0,8.0,11.0,12.0,16.0,19.0,19.0
143,8.0,8.0,7.0,8.0,9.0,6.0,5.0,10.0,12.0,19.0,21.0
144,8.0,7.0,8.0,9.0,6.0,5.0,10.0,12.0,19.0,21.0,26.0
145,7.0,8.0,9.0,6.0,5.0,10.0,12.0,19.0,21.0,26.0,33.0
146,8.0,9.0,6.0,5.0,10.0,12.0,19.0,21.0,26.0,33.0,32.0
147,9.0,6.0,5.0,10.0,12.0,19.0,21.0,26.0,33.0,32.0,39.0
148,6.0,5.0,10.0,12.0,19.0,21.0,26.0,33.0,32.0,39.0,47.0
149,5.0,10.0,12.0,19.0,21.0,26.0,33.0,32.0,39.0,47.0,101.0
150,48.0,41.0,42.0,31.0,33.0,31.0,30.0,24.0,25.0,24.0,26.0
151,41.0,42.0,31.0,33.0,31.0,30.0,24.0,25.0,24.0,26.0,23.0
152,42.0,31.0,33.0,31.0,30.0,24.0,25.0,24.0,26.0,23.0,31.0
153,31.0,33.0,31.0,30.0,24.0,25.0,24.0,26.0,23.0,31.0,37.0
154,33.0,31.0,30.0,24.0,25.0,24.0,26.0,23.0,31.0,37.0,41.0
155,31.0,30.0,24.0,25.0,24.0,26.0,23.0,31.0,37.0,41.0,46.0
156,30.0,24.0,25.0,24.0,26.0,23.0,31.0,37.0,41.0,46.0,101.0
157,98.0,96.0,80.0,88.0,90.0,81.0,86.0,86.0,93.0,68.0,84.0
158,96.0,80.0,88.0,90.0,81.0,86.0,86.0,93.0,68.0,84.0,101.0
159,67.0,61.0,60.0,53.0,51.0,48.0,44.0,38.0,40.0,43.0,52.0
