,week,twitter_per_hour,pos_rate,neg_rate,ratio_pos_neg,favorite_rate,current_rank,date_period,Song_ID,Song_IDN,past_rank_1,past_rank_2,past_rank_3,past_rank_4,past_rank_5,past_rank_6,past_rank_7,past_rank_8,past_rank_9,next_rank,past_rank_0,diff,est
110,1373,0.00595238095238,0.0,0.0,1.0,0.0,35,2016-04-17 ~ 2016-04-23,Drunk On Your Love%BRETT ELDREDGE,37,40,44,49,54,52,61,59,61,62,48,35,12.9649122807,35.0350877193
111,1371,0.00595238095238,0.0,0.0,1.0,0.0,48,2016-04-03 ~ 2016-04-09,Ex's & Oh's%ELLE KING,38,40,40,34,33,36,32,31,29,25,49,48,-17.2121212121,66.2121212121
114,1371,0.00595238095238,0.0,0.0,1.0,0.0,30,2016-04-03 ~ 2016-04-09,Exchange%BRYSON TILLER,39,26,36,37,43,39,44,40,39,44,26,30,-8.1686746988,34.1686746988
115,1372,126.234149945,0.219426565243,0.00468110005851,41.7777777778,0.290228203628,26,2016-04-10 ~ 2016-04-16,Exchange%BRYSON TILLER,39,30,26,36,37,43,39,44,40,39,29,26,4.07936507937,24.9206349206
116,1373,124.621529661,0.181623931624,0.00213675213675,64.0,0.11396011396,29,2016-04-17 ~ 2016-04-23,Exchange%BRYSON TILLER,39,26,30,26,36,37,43,39,44,40,31,29,-0.564102564103,31.5641025641
118,1372,0.874835610955,0.294117647059,0.235294117647,1.2,0.529411764706,100,2016-04-10 ~ 2016-04-16,Fast Car%JONAS BLUE ,40,100,101,101,101,101,101,101,101,101,98,100,-1.19178082192,99.1917808219
132,1371,0.00595238095238,0.0,0.0,1.0,0.0,15,2016-04-03 ~ 2016-04-09,Hands To Myself%SELENA GOMEZ,45,13,15,11,11,12,13,7,21,37,15,15,-1.94155844156,16.9415584416
133,1372,2.21930670376,0.0,0.0,1.0,0.0,15,2016-04-10 ~ 2016-04-16,Hands To Myself%SELENA GOMEZ,45,15,13,15,11,11,12,13,7,21,17,15,1.0725388601,15.9274611399
134,1373,5.10051694428,0.0540540540541,0.0540540540541,1.0,0.378378378378,17,2016-04-17 ~ 2016-04-23,Hands To Myself%SELENA GOMEZ,45,15,15,13,15,11,11,12,13,7,18,17,-1.975,19.975
135,1371,0.00595238095238,0.0,0.0,1.0,0.0,94,2016-04-03 ~ 2016-04-09,Head Over Boots%JON PARDI,46,98,97,101,101,101,101,101,101,101,92,94,-0.511627906977,92.511627907
136,1372,0.00595238095238,0.0,0.0,1.0,0.0,92,2016-04-10 ~ 2016-04-16,Head Over Boots%JON PARDI,46,94,98,97,101,101,101,101,101,101,85,92,-6.82978723404,91.829787234
137,1373,0.00595238095238,0.0,0.0,1.0,0.0,85,2016-04-17 ~ 2016-04-23,Head Over Boots%JON PARDI,46,92,94,98,97,101,101,101,101,101,89,85,6.62222222222,82.3777777778
138,1371,0.00595238095238,0.0,0.0,1.0,0.0,56,2016-04-03 ~ 2016-04-09,Heartbeat%CARRIE UNDERWOOD,47,48,46,44,42,55,58,58,60,70,75,56,7.71428571429,67.2857142857
