,diff_0,diff_1,diff_2,diff_3,target
541,41.0,46.0,49.0,49.0,48.0
542,46.0,49.0,49.0,48.0,101.0
543,98.0,90.0,90.0,87.0,86.0
544,90.0,90.0,87.0,86.0,75.0
545,90.0,87.0,86.0,75.0,80.0
546,87.0,86.0,75.0,80.0,75.0
547,86.0,75.0,80.0,75.0,38.0
548,75.0,80.0,75.0,38.0,35.0
549,80.0,75.0,38.0,35.0,52.0
550,75.0,38.0,35.0,52.0,50.0
551,38.0,35.0,52.0,50.0,38.0
552,35.0,52.0,50.0,38.0,35.0
553,52.0,50.0,38.0,35.0,30.0
554,10.0,10.0,10.0,10.0,10.0
555,10.0,10.0,10.0,10.0,9.0
556,10.0,10.0,10.0,9.0,11.0
557,10.0,10.0,9.0,11.0,15.0
558,10.0,9.0,11.0,15.0,20.0
559,9.0,11.0,15.0,20.0,27.0
560,11.0,15.0,20.0,27.0,29.0
561,15.0,20.0,27.0,29.0,31.0
562,20.0,27.0,29.0,31.0,37.0
563,27.0,29.0,31.0,37.0,42.0
564,29.0,31.0,37.0,42.0,46.0
565,31.0,37.0,42.0,46.0,41.0
566,37.0,42.0,46.0,41.0,46.0
567,99.0,89.0,83.0,82.0,86.0
568,89.0,83.0,82.0,86.0,88.0
569,83.0,82.0,86.0,88.0,85.0
570,82.0,86.0,88.0,85.0,79.0
571,33.0,37.0,46.0,40.0,45.0
572,37.0,46.0,40.0,45.0,49.0
573,46.0,40.0,45.0,49.0,48.0
574,40.0,45.0,49.0,48.0,101.0
575,75.0,86.0,87.0,79.0,67.0
576,86.0,87.0,79.0,67.0,47.0
577,5.0,4.0,3.0,3.0,3.0
578,4.0,3.0,3.0,3.0,3.0
579,3.0,3.0,3.0,3.0,2.0
580,3.0,3.0,3.0,2.0,1.0
581,3.0,3.0,2.0,1.0,2.0
582,3.0,2.0,1.0,2.0,1.0
583,2.0,1.0,2.0,1.0,2.0
584,1.0,2.0,1.0,2.0,2.0
585,2.0,1.0,2.0,2.0,2.0
586,1.0,2.0,2.0,2.0,2.0
587,2.0,2.0,2.0,2.0,2.0
588,2.0,2.0,2.0,2.0,3.0
589,2.0,2.0,2.0,3.0,5.0
590,52.0,59.0,53.0,56.0,43.0
591,59.0,53.0,56.0,43.0,35.0
592,53.0,56.0,43.0,35.0,29.0
593,56.0,43.0,35.0,29.0,28.0
594,36.0,40.0,36.0,35.0,29.0
595,40.0,36.0,35.0,29.0,19.0
596,36.0,35.0,29.0,19.0,16.0
597,35.0,29.0,19.0,16.0,12.0
598,29.0,19.0,16.0,12.0,10.0
599,19.0,16.0,12.0,10.0,8.0
600,16.0,12.0,10.0,8.0,8.0
601,12.0,10.0,8.0,8.0,7.0
602,10.0,8.0,8.0,7.0,7.0
603,8.0,8.0,7.0,7.0,7.0
604,8.0,7.0,7.0,7.0,7.0
605,7.0,7.0,7.0,7.0,7.0
606,7.0,7.0,7.0,7.0,8.0
607,95.0,88.0,79.0,73.0,70.0
608,88.0,79.0,73.0,70.0,57.0
609,79.0,73.0,70.0,57.0,50.0
610,73.0,70.0,57.0,50.0,31.0
611,70.0,57.0,50.0,31.0,26.0
612,57.0,50.0,31.0,26.0,20.0
613,50.0,31.0,26.0,20.0,22.0
614,85.0,80.0,78.0,82.0,84.0
615,80.0,78.0,82.0,84.0,83.0
616,78.0,82.0,84.0,83.0,78.0
617,100.0,96.0,94.0,83.0,81.0
618,96.0,94.0,83.0,81.0,77.0
619,85.0,84.0,88.0,86.0,84.0
620,84.0,88.0,86.0,84.0,74.0
621,92.0,84.0,86.0,85.0,85.0
622,84.0,86.0,85.0,85.0,101.0
623,91.0,71.0,65.0,63.0,55.0
624,71.0,65.0,63.0,55.0,55.0
625,65.0,63.0,55.0,55.0,51.0
626,63.0,55.0,55.0,51.0,53.0
627,55.0,55.0,51.0,53.0,53.0
628,55.0,51.0,53.0,53.0,50.0
629,55.0,51.0,37.0,34.0,32.0
630,51.0,37.0,34.0,32.0,23.0
631,37.0,34.0,32.0,23.0,12.0
632,34.0,32.0,23.0,12.0,5.0
