,diff_0,diff_1,diff_2,diff_3,diff_4,diff_5,diff_6,diff_7,diff_8,diff_9,target
39,67.0,75.0,89.0,75.0,81.0,88.0,93.0,100.0,100.0,97.0,101.0
40,63.0,62.0,58.0,53.0,53.0,44.0,35.0,35.0,35.0,35.0,38.0
41,62.0,58.0,53.0,53.0,44.0,35.0,35.0,35.0,35.0,38.0,37.0
42,58.0,53.0,53.0,44.0,35.0,35.0,35.0,35.0,38.0,37.0,36.0
43,53.0,53.0,44.0,35.0,35.0,35.0,35.0,38.0,37.0,36.0,41.0
44,53.0,44.0,35.0,35.0,35.0,35.0,38.0,37.0,36.0,41.0,44.0
45,44.0,35.0,35.0,35.0,35.0,38.0,37.0,36.0,41.0,44.0,52.0
46,35.0,35.0,35.0,35.0,38.0,37.0,36.0,41.0,44.0,52.0,53.0
47,35.0,35.0,35.0,38.0,37.0,36.0,41.0,44.0,52.0,53.0,59.0
48,35.0,35.0,38.0,37.0,36.0,41.0,44.0,52.0,53.0,59.0,63.0
49,35.0,38.0,37.0,36.0,41.0,44.0,52.0,53.0,59.0,63.0,64.0
50,38.0,37.0,36.0,41.0,44.0,52.0,53.0,59.0,63.0,64.0,101.0
51,88.0,58.0,73.0,75.0,78.0,76.0,74.0,82.0,75.0,82.0,89.0
52,58.0,73.0,75.0,78.0,76.0,74.0,82.0,75.0,82.0,89.0,92.0
53,73.0,75.0,78.0,76.0,74.0,82.0,75.0,82.0,89.0,92.0,100.0
54,75.0,78.0,76.0,74.0,82.0,75.0,82.0,89.0,92.0,100.0,101.0
55,91.0,99.0,93.0,90.0,88.0,89.0,86.0,84.0,76.0,85.0,93.0
56,99.0,93.0,90.0,88.0,89.0,86.0,84.0,76.0,85.0,93.0,101.0
57,96.0,81.0,81.0,78.0,85.0,72.0,71.0,64.0,60.0,63.0,69.0
58,81.0,81.0,78.0,85.0,72.0,71.0,64.0,60.0,63.0,69.0,57.0
59,81.0,78.0,85.0,72.0,71.0,64.0,60.0,63.0,69.0,57.0,54.0
60,78.0,85.0,72.0,71.0,64.0,60.0,63.0,69.0,57.0,54.0,42.0
61,85.0,72.0,71.0,64.0,60.0,63.0,69.0,57.0,54.0,42.0,57.0
62,72.0,71.0,64.0,60.0,63.0,69.0,57.0,54.0,42.0,57.0,55.0
63,71.0,64.0,60.0,63.0,69.0,57.0,54.0,42.0,57.0,55.0,68.0
64,64.0,60.0,63.0,69.0,57.0,54.0,42.0,57.0,55.0,68.0,91.0
65,60.0,63.0,69.0,57.0,54.0,42.0,57.0,55.0,68.0,91.0,101.0
66,93.0,80.0,63.0,58.0,53.0,52.0,54.0,57.0,63.0,76.0,94.0
67,80.0,63.0,58.0,53.0,52.0,54.0,57.0,63.0,76.0,94.0,101.0
68,89.0,74.0,75.0,56.0,52.0,44.0,57.0,40.0,36.0,27.0,25.0
69,74.0,75.0,56.0,52.0,44.0,57.0,40.0,36.0,27.0,25.0,24.0
