,diff_0,diff_1,diff_2,diff_3,diff_4,diff_5,diff_6,target
160,78.0,78.0,75.0,78.0,72.0,72.0,78.0,82.0
161,78.0,75.0,78.0,72.0,72.0,78.0,82.0,93.0
162,75.0,78.0,72.0,72.0,78.0,82.0,93.0,101.0
163,93.0,87.0,87.0,78.0,77.0,71.0,64.0,70.0
164,87.0,87.0,78.0,77.0,71.0,64.0,70.0,69.0
165,87.0,78.0,77.0,71.0,64.0,70.0,69.0,67.0
166,78.0,77.0,71.0,64.0,70.0,69.0,67.0,60.0
167,77.0,71.0,64.0,70.0,69.0,67.0,60.0,57.0
168,71.0,64.0,70.0,69.0,67.0,60.0,57.0,62.0
169,64.0,70.0,69.0,67.0,60.0,57.0,62.0,63.0
170,70.0,69.0,67.0,60.0,57.0,62.0,63.0,60.0
171,69.0,67.0,60.0,57.0,62.0,63.0,60.0,64.0
172,67.0,60.0,57.0,62.0,63.0,60.0,64.0,63.0
173,60.0,57.0,62.0,63.0,60.0,64.0,63.0,65.0
174,57.0,62.0,63.0,60.0,64.0,63.0,65.0,70.0
175,62.0,63.0,60.0,64.0,63.0,65.0,70.0,71.0
176,63.0,60.0,64.0,63.0,65.0,70.0,71.0,101.0
177,48.0,46.0,44.0,54.0,75.0,84.0,96.0,101.0
178,84.0,79.0,73.0,68.0,56.0,54.0,49.0,41.0
179,79.0,73.0,68.0,56.0,54.0,49.0,41.0,40.0
180,73.0,68.0,56.0,54.0,49.0,41.0,40.0,34.0
181,68.0,56.0,54.0,49.0,41.0,40.0,34.0,33.0
182,56.0,54.0,49.0,41.0,40.0,34.0,33.0,31.0
183,54.0,49.0,41.0,40.0,34.0,33.0,31.0,30.0
184,49.0,41.0,40.0,34.0,33.0,31.0,30.0,30.0
185,41.0,40.0,34.0,33.0,31.0,30.0,30.0,38.0
186,40.0,34.0,33.0,31.0,30.0,30.0,38.0,44.0
187,34.0,33.0,31.0,30.0,30.0,38.0,44.0,52.0
188,33.0,31.0,30.0,30.0,38.0,44.0,52.0,56.0
189,31.0,30.0,30.0,38.0,44.0,52.0,56.0,62.0
190,30.0,30.0,38.0,44.0,52.0,56.0,62.0,82.0
191,30.0,38.0,44.0,52.0,56.0,62.0,82.0,101.0
192,34.0,29.0,24.0,23.0,16.0,14.0,10.0,14.0
193,29.0,24.0,23.0,16.0,14.0,10.0,14.0,17.0
194,24.0,23.0,16.0,14.0,10.0,14.0,17.0,18.0
195,23.0,16.0,14.0,10.0,14.0,17.0,18.0,23.0
196,16.0,14.0,10.0,14.0,17.0,18.0,23.0,36.0
197,14.0,10.0,14.0,17.0,18.0,23.0,36.0,53.0
198,10.0,14.0,17.0,18.0,23.0,36.0,53.0,76.0
199,14.0,17.0,18.0,23.0,36.0,53.0,76.0,89.0
200,17.0,18.0,23.0,36.0,53.0,76.0,89.0,73.0
201,18.0,23.0,36.0,53.0,76.0,89.0,73.0,87.0
202,23.0,36.0,53.0,76.0,89.0,73.0,87.0,99.0
203,36.0,53.0,76.0,89.0,73.0,87.0,99.0,101.0
204,27.0,39.0,69.0,83.0,87.0,84.0,71.0,39.0
