,diff_0,target
275,78.0,82.0
276,82.0,93.0
277,93.0,101.0
278,95.0,89.0
279,89.0,89.0
280,89.0,96.0
281,96.0,100.0
282,100.0,101.0
283,93.0,87.0
284,87.0,87.0
285,87.0,78.0
286,78.0,77.0
287,77.0,71.0
288,71.0,64.0
289,64.0,70.0
290,70.0,69.0
291,69.0,67.0
292,67.0,60.0
293,60.0,57.0
294,57.0,62.0
295,62.0,63.0
296,63.0,60.0
297,60.0,64.0
298,64.0,63.0
299,63.0,65.0
300,65.0,70.0
301,70.0,71.0
302,71.0,101.0
303,48.0,46.0
304,46.0,44.0
305,44.0,54.0
306,54.0,75.0
307,75.0,84.0
308,84.0,96.0
309,96.0,101.0
310,80.0,67.0
311,67.0,63.0
312,63.0,53.0
313,53.0,48.0
314,48.0,101.0
315,84.0,79.0
316,79.0,73.0
317,73.0,68.0
318,68.0,56.0
319,56.0,54.0
320,54.0,49.0
321,49.0,41.0
322,41.0,40.0
323,40.0,34.0
324,34.0,33.0
325,33.0,31.0
326,31.0,30.0
327,30.0,30.0
328,30.0,38.0
329,38.0,44.0
330,44.0,52.0
331,52.0,56.0
332,56.0,62.0
333,62.0,82.0
334,82.0,101.0
335,34.0,29.0
336,29.0,24.0
337,24.0,23.0
338,23.0,16.0
339,16.0,14.0
340,14.0,10.0
341,10.0,14.0
342,14.0,17.0
343,17.0,18.0
344,18.0,23.0
345,23.0,36.0
346,36.0,53.0
347,53.0,76.0
348,76.0,89.0
349,89.0,73.0
350,73.0,87.0
351,87.0,99.0
352,99.0,101.0
353,27.0,39.0
354,39.0,69.0
355,69.0,83.0
356,83.0,87.0
357,87.0,84.0
358,84.0,71.0
359,71.0,39.0
360,39.0,55.0
361,55.0,59.0
362,59.0,68.0
363,68.0,77.0
364,77.0,88.0
365,88.0,86.0
366,86.0,90.0
367,90.0,99.0
368,99.0,97.0
369,97.0,95.0
370,95.0,92.0
371,92.0,98.0
372,98.0,101.0
373,17.0,14.0
374,14.0,18.0
375,18.0,9.0
376,9.0,8.0
377,8.0,5.0
378,5.0,4.0
379,4.0,4.0
380,4.0,4.0
381,4.0,3.0
382,3.0,1.0
383,1.0,1.0
384,1.0,2.0
385,2.0,2.0
386,2.0,4.0
387,4.0,5.0
388,5.0,8.0
389,8.0,11.0
390,11.0,13.0
391,13.0,14.0
392,14.0,17.0
393,17.0,19.0
394,19.0,20.0
395,20.0,21.0
396,21.0,18.0
397,18.0,24.0
398,24.0,29.0
399,29.0,31.0
400,31.0,38.0
401,38.0,46.0
402,46.0,46.0
403,46.0,49.0
404,49.0,101.0
405,56.0,36.0
406,36.0,101.0
407,61.0,28.0
408,28.0,8.0
409,8.0,27.0
410,27.0,51.0
411,51.0,76.0
412,76.0,82.0
413,82.0,86.0
414,86.0,83.0
415,83.0,85.0
416,85.0,96.0
417,96.0,101.0
418,91.0,62.0
419,62.0,52.0
420,52.0,51.0
421,51.0,51.0
422,51.0,52.0
423,52.0,47.0
424,47.0,49.0
425,49.0,46.0
426,46.0,42.0
427,42.0,41.0
428,41.0,35.0
429,35.0,36.0
430,36.0,39.0
431,39.0,35.0
432,35.0,34.0
433,34.0,43.0
434,43.0,53.0
435,53.0,50.0
436,50.0,47.0
437,47.0,101.0
438,74.0,42.0
439,42.0,24.0
440,24.0,16.0
441,16.0,13.0
442,13.0,9.0
443,9.0,6.0
444,6.0,5.0
445,5.0,3.0
446,3.0,3.0
447,3.0,2.0
448,2.0,2.0
449,2.0,2.0
450,2.0,2.0
451,2.0,2.0
452,2.0,2.0
453,2.0,2.0
454,2.0,4.0
455,4.0,5.0
456,5.0,6.0
457,6.0,7.0
458,7.0,9.0
459,9.0,11.0
460,11.0,11.0
461,11.0,11.0
462,11.0,19.0
463,19.0,21.0
464,21.0,25.0
465,25.0,30.0
466,30.0,34.0
467,34.0,32.0
468,32.0,34.0
469,34.0,32.0
470,32.0,36.0
471,36.0,42.0
472,42.0,44.0
473,44.0,43.0
474,43.0,44.0
475,44.0,50.0
476,50.0,101.0
477,93.0,90.0
478,90.0,86.0
479,86.0,87.0
480,87.0,100.0
481,100.0,101.0
482,68.0,35.0
483,35.0,19.0
484,19.0,16.0
485,16.0,10.0
486,10.0,7.0
487,7.0,6.0
488,6.0,5.0
489,5.0,5.0
490,5.0,7.0
491,7.0,7.0
492,7.0,9.0
493,9.0,14.0
494,14.0,23.0
495,23.0,29.0
496,29.0,39.0
497,39.0,42.0
498,42.0,45.0
499,45.0,46.0
500,46.0,50.0
501,50.0,50.0
502,50.0,101.0
503,97.0,83.0
504,83.0,81.0
505,81.0,93.0
506,93.0,91.0
507,91.0,98.0
508,98.0,91.0
509,91.0,100.0
510,100.0,101.0
511,92.0,75.0
512,75.0,75.0
513,75.0,79.0
514,79.0,77.0
515,77.0,77.0
516,77.0,73.0
517,73.0,71.0
518,71.0,73.0
519,73.0,76.0
520,76.0,81.0
521,81.0,86.0
