,diff_0,diff_1,diff_2,diff_3,diff_4,target
37,98.0,95.0,82.0,76.0,75.0,77.0
38,95.0,82.0,76.0,75.0,77.0,76.0
39,82.0,76.0,75.0,77.0,76.0,73.0
40,76.0,75.0,77.0,76.0,73.0,70.0
41,39.0,44.0,55.0,54.0,52.0,50.0
42,44.0,55.0,54.0,52.0,50.0,47.0
43,55.0,54.0,52.0,50.0,47.0,45.0
44,54.0,52.0,50.0,47.0,45.0,36.0
45,52.0,50.0,47.0,45.0,36.0,13.0
46,50.0,47.0,45.0,36.0,13.0,28.0
47,47.0,45.0,36.0,13.0,28.0,33.0
48,45.0,36.0,13.0,28.0,33.0,41.0
49,36.0,13.0,28.0,33.0,41.0,53.0
50,13.0,28.0,33.0,41.0,53.0,65.0
51,28.0,33.0,41.0,53.0,65.0,76.0
52,33.0,41.0,53.0,65.0,76.0,101.0
53,42.0,45.0,44.0,38.0,43.0,47.0
54,45.0,44.0,38.0,43.0,47.0,43.0
55,44.0,38.0,43.0,47.0,43.0,46.0
56,38.0,43.0,47.0,43.0,46.0,50.0
57,43.0,47.0,43.0,46.0,50.0,101.0
58,16.0,16.0,16.0,17.0,19.0,17.0
59,16.0,16.0,17.0,19.0,17.0,19.0
60,16.0,17.0,19.0,17.0,19.0,23.0
61,17.0,19.0,17.0,19.0,23.0,28.0
62,19.0,17.0,19.0,23.0,28.0,32.0
63,17.0,19.0,23.0,28.0,32.0,36.0
64,19.0,23.0,28.0,32.0,36.0,40.0
65,23.0,28.0,32.0,36.0,40.0,47.0
66,28.0,32.0,36.0,40.0,47.0,101.0
67,64.0,53.0,59.0,53.0,51.0,49.0
68,53.0,59.0,53.0,51.0,49.0,48.0
69,59.0,53.0,51.0,49.0,48.0,51.0
70,53.0,51.0,49.0,48.0,51.0,50.0
71,51.0,49.0,48.0,51.0,50.0,50.0
72,49.0,48.0,51.0,50.0,50.0,36.0
73,48.0,51.0,50.0,50.0,36.0,20.0
74,51.0,50.0,50.0,36.0,20.0,25.0
75,50.0,50.0,36.0,20.0,25.0,29.0
76,50.0,36.0,20.0,25.0,29.0,30.0
77,36.0,20.0,25.0,29.0,30.0,37.0
78,49.0,53.0,56.0,52.0,56.0,60.0
79,53.0,56.0,52.0,56.0,60.0,61.0
80,56.0,52.0,56.0,60.0,61.0,83.0
81,52.0,56.0,60.0,61.0,83.0,96.0
82,56.0,60.0,61.0,83.0,96.0,101.0
83,93.0,91.0,88.0,82.0,69.0,65.0
84,91.0,88.0,82.0,69.0,65.0,57.0
85,88.0,82.0,69.0,65.0,57.0,55.0
86,82.0,69.0,65.0,57.0,55.0,55.0
87,69.0,65.0,57.0,55.0,55.0,49.0
88,65.0,57.0,55.0,55.0,49.0,57.0
89,57.0,55.0,55.0,49.0,57.0,60.0
90,55.0,55.0,49.0,57.0,60.0,71.0
91,55.0,49.0,57.0,60.0,71.0,65.0
92,49.0,57.0,60.0,71.0,65.0,89.0
93,57.0,60.0,71.0,65.0,89.0,94.0
94,60.0,71.0,65.0,89.0,94.0,101.0
95,98.0,84.0,79.0,76.0,81.0,93.0
96,84.0,79.0,76.0,81.0,93.0,101.0
97,100.0,96.0,92.0,81.0,71.0,69.0
98,96.0,92.0,81.0,71.0,69.0,64.0
99,92.0,81.0,71.0,69.0,64.0,63.0
100,81.0,71.0,69.0,64.0,63.0,63.0
101,71.0,69.0,64.0,63.0,63.0,60.0
102,69.0,64.0,63.0,63.0,60.0,64.0
103,64.0,63.0,63.0,60.0,64.0,59.0
104,63.0,63.0,60.0,64.0,59.0,57.0
105,63.0,60.0,64.0,59.0,57.0,55.0
106,60.0,64.0,59.0,57.0,55.0,52.0
107,64.0,59.0,57.0,55.0,52.0,72.0
108,59.0,57.0,55.0,52.0,72.0,76.0
109,72.0,78.0,63.0,67.0,60.0,52.0
110,78.0,63.0,67.0,60.0,52.0,45.0
111,63.0,67.0,60.0,52.0,45.0,49.0
112,67.0,60.0,52.0,45.0,49.0,52.0
113,60.0,52.0,45.0,49.0,52.0,53.0
114,52.0,45.0,49.0,52.0,53.0,51.0
115,45.0,49.0,52.0,53.0,51.0,48.0
116,49.0,52.0,53.0,51.0,48.0,51.0
117,52.0,53.0,51.0,48.0,51.0,56.0
118,53.0,51.0,48.0,51.0,56.0,57.0
119,51.0,48.0,51.0,56.0,57.0,65.0
120,48.0,51.0,56.0,57.0,65.0,66.0
121,60.0,68.0,48.0,51.0,59.0,58.0
122,68.0,48.0,51.0,59.0,58.0,53.0
123,48.0,51.0,59.0,58.0,53.0,78.0
124,51.0,59.0,58.0,53.0,78.0,90.0
125,59.0,58.0,53.0,78.0,90.0,91.0
126,58.0,53.0,78.0,90.0,91.0,97.0
127,53.0,78.0,90.0,91.0,97.0,101.0
128,64.0,70.0,61.0,57.0,63.0,63.0
129,70.0,61.0,57.0,63.0,63.0,63.0
130,61.0,57.0,63.0,63.0,63.0,71.0
131,57.0,63.0,63.0,63.0,71.0,73.0
132,63.0,63.0,63.0,71.0,73.0,101.0
133,81.0,83.0,87.0,83.0,99.0,99.0
134,83.0,87.0,83.0,99.0,99.0,101.0
135,94.0,74.0,72.0,65.0,61.0,62.0
136,74.0,72.0,65.0,61.0,62.0,61.0
137,72.0,65.0,61.0,62.0,61.0,66.0
138,65.0,61.0,62.0,61.0,66.0,54.0
139,61.0,62.0,61.0,66.0,54.0,65.0
140,62.0,61.0,66.0,54.0,65.0,81.0
141,61.0,66.0,54.0,65.0,81.0,99.0
142,66.0,54.0,65.0,81.0,99.0,101.0
143,34.0,34.0,32.0,29.0,34.0,33.0
144,34.0,32.0,29.0,34.0,33.0,33.0
145,32.0,29.0,34.0,33.0,33.0,30.0
146,29.0,34.0,33.0,33.0,30.0,33.0
147,34.0,33.0,33.0,30.0,33.0,40.0
148,33.0,33.0,30.0,33.0,40.0,47.0
149,33.0,30.0,33.0,40.0,47.0,101.0
150,63.0,47.0,43.0,41.0,26.0,22.0
151,47.0,43.0,41.0,26.0,22.0,22.0
