,diff_0,diff_1,diff_2,target
133,93.0,91.0,92.0,90.0
134,91.0,92.0,90.0,101.0
135,82.0,88.0,100.0,101.0
136,91.0,99.0,93.0,90.0
137,99.0,93.0,90.0,88.0
138,93.0,90.0,88.0,89.0
139,90.0,88.0,89.0,86.0
140,88.0,89.0,86.0,84.0
141,89.0,86.0,84.0,76.0
142,86.0,84.0,76.0,85.0
143,84.0,76.0,85.0,93.0
144,76.0,85.0,93.0,101.0
145,96.0,81.0,81.0,78.0
146,81.0,81.0,78.0,85.0
147,81.0,78.0,85.0,72.0
148,78.0,85.0,72.0,71.0
149,85.0,72.0,71.0,64.0
150,72.0,71.0,64.0,60.0
151,71.0,64.0,60.0,63.0
152,64.0,60.0,63.0,69.0
153,60.0,63.0,69.0,57.0
154,63.0,69.0,57.0,54.0
155,69.0,57.0,54.0,42.0
156,57.0,54.0,42.0,57.0
157,54.0,42.0,57.0,55.0
158,42.0,57.0,55.0,68.0
159,57.0,55.0,68.0,91.0
160,55.0,68.0,91.0,101.0
161,87.0,90.0,90.0,88.0
162,90.0,90.0,88.0,84.0
163,90.0,88.0,84.0,91.0
164,88.0,84.0,91.0,89.0
165,84.0,91.0,89.0,90.0
166,91.0,89.0,90.0,96.0
167,89.0,90.0,96.0,101.0
168,93.0,80.0,63.0,58.0
169,80.0,63.0,58.0,53.0
170,63.0,58.0,53.0,52.0
171,58.0,53.0,52.0,54.0
172,53.0,52.0,54.0,57.0
173,52.0,54.0,57.0,63.0
174,54.0,57.0,63.0,76.0
175,57.0,63.0,76.0,94.0
176,63.0,76.0,94.0,101.0
177,89.0,74.0,75.0,56.0
178,74.0,75.0,56.0,52.0
179,75.0,56.0,52.0,44.0
180,56.0,52.0,44.0,57.0
181,52.0,44.0,57.0,40.0
182,44.0,57.0,40.0,36.0
183,57.0,40.0,36.0,27.0
184,40.0,36.0,27.0,25.0
185,36.0,27.0,25.0,24.0
186,27.0,25.0,24.0,26.0
187,25.0,24.0,26.0,25.0
188,24.0,26.0,25.0,27.0
189,26.0,25.0,27.0,29.0
190,25.0,27.0,29.0,35.0
191,27.0,29.0,35.0,34.0
192,29.0,35.0,34.0,32.0
193,35.0,34.0,32.0,34.0
194,34.0,32.0,34.0,36.0
195,32.0,34.0,36.0,34.0
196,34.0,36.0,34.0,36.0
