,diff_0,diff_1,diff_2,diff_3,diff_4,diff_5,diff_6,target
38,45.0,36.0,13.0,28.0,33.0,41.0,53.0,65.0
39,36.0,13.0,28.0,33.0,41.0,53.0,65.0,76.0
40,13.0,28.0,33.0,41.0,53.0,65.0,76.0,101.0
41,42.0,45.0,44.0,38.0,43.0,47.0,43.0,46.0
42,45.0,44.0,38.0,43.0,47.0,43.0,46.0,50.0
43,44.0,38.0,43.0,47.0,43.0,46.0,50.0,101.0
44,16.0,16.0,16.0,17.0,19.0,17.0,19.0,23.0
45,16.0,16.0,17.0,19.0,17.0,19.0,23.0,28.0
46,16.0,17.0,19.0,17.0,19.0,23.0,28.0,32.0
47,17.0,19.0,17.0,19.0,23.0,28.0,32.0,36.0
48,19.0,17.0,19.0,23.0,28.0,32.0,36.0,40.0
49,17.0,19.0,23.0,28.0,32.0,36.0,40.0,47.0
50,19.0,23.0,28.0,32.0,36.0,40.0,47.0,101.0
51,64.0,53.0,59.0,53.0,51.0,49.0,48.0,51.0
52,53.0,59.0,53.0,51.0,49.0,48.0,51.0,50.0
53,59.0,53.0,51.0,49.0,48.0,51.0,50.0,50.0
54,53.0,51.0,49.0,48.0,51.0,50.0,50.0,36.0
55,51.0,49.0,48.0,51.0,50.0,50.0,36.0,20.0
56,49.0,48.0,51.0,50.0,50.0,36.0,20.0,25.0
57,48.0,51.0,50.0,50.0,36.0,20.0,25.0,29.0
58,51.0,50.0,50.0,36.0,20.0,25.0,29.0,30.0
59,50.0,50.0,36.0,20.0,25.0,29.0,30.0,37.0
60,49.0,53.0,56.0,52.0,56.0,60.0,61.0,83.0
61,53.0,56.0,52.0,56.0,60.0,61.0,83.0,96.0
62,56.0,52.0,56.0,60.0,61.0,83.0,96.0,101.0
63,93.0,91.0,88.0,82.0,69.0,65.0,57.0,55.0
64,91.0,88.0,82.0,69.0,65.0,57.0,55.0,55.0
65,88.0,82.0,69.0,65.0,57.0,55.0,55.0,49.0
66,82.0,69.0,65.0,57.0,55.0,55.0,49.0,57.0
67,69.0,65.0,57.0,55.0,55.0,49.0,57.0,60.0
68,65.0,57.0,55.0,55.0,49.0,57.0,60.0,71.0
69,57.0,55.0,55.0,49.0,57.0,60.0,71.0,65.0
70,55.0,55.0,49.0,57.0,60.0,71.0,65.0,89.0
71,55.0,49.0,57.0,60.0,71.0,65.0,89.0,94.0
72,49.0,57.0,60.0,71.0,65.0,89.0,94.0,101.0
73,100.0,96.0,92.0,81.0,71.0,69.0,64.0,63.0
74,96.0,92.0,81.0,71.0,69.0,64.0,63.0,63.0
