,diff_0,diff_1,diff_2,diff_3,diff_4,diff_5,target
62,53.0,51.0,49.0,48.0,51.0,50.0,50.0
63,51.0,49.0,48.0,51.0,50.0,50.0,36.0
64,49.0,48.0,51.0,50.0,50.0,36.0,20.0
65,48.0,51.0,50.0,50.0,36.0,20.0,25.0
66,51.0,50.0,50.0,36.0,20.0,25.0,29.0
67,50.0,50.0,36.0,20.0,25.0,29.0,30.0
68,50.0,36.0,20.0,25.0,29.0,30.0,37.0
69,49.0,53.0,56.0,52.0,56.0,60.0,61.0
70,53.0,56.0,52.0,56.0,60.0,61.0,83.0
71,56.0,52.0,56.0,60.0,61.0,83.0,96.0
72,52.0,56.0,60.0,61.0,83.0,96.0,101.0
73,93.0,91.0,88.0,82.0,69.0,65.0,57.0
74,91.0,88.0,82.0,69.0,65.0,57.0,55.0
75,88.0,82.0,69.0,65.0,57.0,55.0,55.0
76,82.0,69.0,65.0,57.0,55.0,55.0,49.0
77,69.0,65.0,57.0,55.0,55.0,49.0,57.0
78,65.0,57.0,55.0,55.0,49.0,57.0,60.0
79,57.0,55.0,55.0,49.0,57.0,60.0,71.0
80,55.0,55.0,49.0,57.0,60.0,71.0,65.0
81,55.0,49.0,57.0,60.0,71.0,65.0,89.0
82,49.0,57.0,60.0,71.0,65.0,89.0,94.0
83,57.0,60.0,71.0,65.0,89.0,94.0,101.0
84,98.0,84.0,79.0,76.0,81.0,93.0,101.0
85,100.0,96.0,92.0,81.0,71.0,69.0,64.0
86,96.0,92.0,81.0,71.0,69.0,64.0,63.0
87,92.0,81.0,71.0,69.0,64.0,63.0,63.0
88,81.0,71.0,69.0,64.0,63.0,63.0,60.0
89,71.0,69.0,64.0,63.0,63.0,60.0,64.0
90,69.0,64.0,63.0,63.0,60.0,64.0,59.0
91,64.0,63.0,63.0,60.0,64.0,59.0,57.0
92,63.0,63.0,60.0,64.0,59.0,57.0,55.0
93,63.0,60.0,64.0,59.0,57.0,55.0,52.0
94,60.0,64.0,59.0,57.0,55.0,52.0,72.0
95,64.0,59.0,57.0,55.0,52.0,72.0,76.0
96,72.0,78.0,63.0,67.0,60.0,52.0,45.0
97,78.0,63.0,67.0,60.0,52.0,45.0,49.0
98,63.0,67.0,60.0,52.0,45.0,49.0,52.0
99,67.0,60.0,52.0,45.0,49.0,52.0,53.0
100,60.0,52.0,45.0,49.0,52.0,53.0,51.0
101,52.0,45.0,49.0,52.0,53.0,51.0,48.0
102,45.0,49.0,52.0,53.0,51.0,48.0,51.0
103,49.0,52.0,53.0,51.0,48.0,51.0,56.0
104,52.0,53.0,51.0,48.0,51.0,56.0,57.0
105,53.0,51.0,48.0,51.0,56.0,57.0,65.0
106,51.0,48.0,51.0,56.0,57.0,65.0,66.0
107,60.0,68.0,48.0,51.0,59.0,58.0,53.0
108,68.0,48.0,51.0,59.0,58.0,53.0,78.0
109,48.0,51.0,59.0,58.0,53.0,78.0,90.0
110,51.0,59.0,58.0,53.0,78.0,90.0,91.0
111,59.0,58.0,53.0,78.0,90.0,91.0,97.0
112,58.0,53.0,78.0,90.0,91.0,97.0,101.0
113,64.0,70.0,61.0,57.0,63.0,63.0,63.0
114,70.0,61.0,57.0,63.0,63.0,63.0,71.0
115,61.0,57.0,63.0,63.0,63.0,71.0,73.0
116,57.0,63.0,63.0,63.0,71.0,73.0,101.0
117,81.0,83.0,87.0,83.0,99.0,99.0,101.0
118,94.0,74.0,72.0,65.0,61.0,62.0,61.0
119,74.0,72.0,65.0,61.0,62.0,61.0,66.0
120,72.0,65.0,61.0,62.0,61.0,66.0,54.0
121,65.0,61.0,62.0,61.0,66.0,54.0,65.0
122,61.0,62.0,61.0,66.0,54.0,65.0,81.0
123,62.0,61.0,66.0,54.0,65.0,81.0,99.0
124,61.0,66.0,54.0,65.0,81.0,99.0,101.0
125,34.0,34.0,32.0,29.0,34.0,33.0,33.0
126,34.0,32.0,29.0,34.0,33.0,33.0,30.0
