,diff_0,diff_1,diff_2,diff_3,diff_4,diff_5,target
181,24.0,20.0,21.0,25.0,26.0,23.0,24.0
182,20.0,21.0,25.0,26.0,23.0,24.0,26.0
183,21.0,25.0,26.0,23.0,24.0,26.0,32.0
184,25.0,26.0,23.0,24.0,26.0,32.0,41.0
185,26.0,23.0,24.0,26.0,32.0,41.0,49.0
186,23.0,24.0,26.0,32.0,41.0,49.0,55.0
187,24.0,26.0,32.0,41.0,49.0,55.0,65.0
188,26.0,32.0,41.0,49.0,55.0,65.0,101.0
189,11.0,17.0,14.0,14.0,12.0,13.0,17.0
190,17.0,14.0,14.0,12.0,13.0,17.0,12.0
191,14.0,14.0,12.0,13.0,17.0,12.0,15.0
192,14.0,12.0,13.0,17.0,12.0,15.0,16.0
193,12.0,13.0,17.0,12.0,15.0,16.0,21.0
194,13.0,17.0,12.0,15.0,16.0,21.0,18.0
195,17.0,12.0,15.0,16.0,21.0,18.0,20.0
196,12.0,15.0,16.0,21.0,18.0,20.0,14.0
197,15.0,16.0,21.0,18.0,20.0,14.0,22.0
198,16.0,21.0,18.0,20.0,14.0,22.0,23.0
199,21.0,18.0,20.0,14.0,22.0,23.0,29.0
200,18.0,20.0,14.0,22.0,23.0,29.0,37.0
201,20.0,14.0,22.0,23.0,29.0,37.0,42.0
202,14.0,22.0,23.0,29.0,37.0,42.0,47.0
203,22.0,23.0,29.0,37.0,42.0,47.0,48.0
204,23.0,29.0,37.0,42.0,47.0,48.0,50.0
205,29.0,37.0,42.0,47.0,48.0,50.0,101.0
206,97.0,91.0,86.0,86.0,85.0,90.0,96.0
207,91.0,86.0,86.0,85.0,90.0,96.0,101.0
208,9.0,10.0,13.0,16.0,15.0,24.0,35.0
209,10.0,13.0,16.0,15.0,24.0,35.0,39.0
210,13.0,16.0,15.0,24.0,35.0,39.0,53.0
211,16.0,15.0,24.0,35.0,39.0,53.0,63.0
212,15.0,24.0,35.0,39.0,53.0,63.0,72.0
213,24.0,35.0,39.0,53.0,63.0,72.0,101.0
214,90.0,86.0,87.0,81.0,81.0,96.0,101.0
215,62.0,30.0,25.0,20.0,14.0,11.0,12.0
