,diff_0,diff_1,diff_2,diff_3,diff_4,diff_5,target
217,83.0,84.0,81.0,72.0,44.0,54.0,55.0
218,84.0,81.0,72.0,44.0,54.0,55.0,51.0
219,81.0,72.0,44.0,54.0,55.0,51.0,48.0
220,72.0,44.0,54.0,55.0,51.0,48.0,45.0
221,44.0,54.0,55.0,51.0,48.0,45.0,43.0
222,54.0,55.0,51.0,48.0,45.0,43.0,40.0
223,55.0,51.0,48.0,45.0,43.0,40.0,36.0
224,51.0,48.0,45.0,43.0,40.0,36.0,36.0
225,48.0,45.0,43.0,40.0,36.0,36.0,34.0
226,45.0,43.0,40.0,36.0,36.0,34.0,39.0
227,43.0,40.0,36.0,36.0,34.0,39.0,46.0
228,40.0,36.0,36.0,34.0,39.0,46.0,101.0
229,40.0,37.0,33.0,31.0,36.0,37.0,42.0
230,37.0,33.0,31.0,36.0,37.0,42.0,52.0
231,33.0,31.0,36.0,37.0,42.0,52.0,61.0
232,31.0,36.0,37.0,42.0,52.0,61.0,81.0
233,36.0,37.0,42.0,52.0,61.0,81.0,87.0
234,37.0,42.0,52.0,61.0,81.0,87.0,96.0
235,42.0,52.0,61.0,81.0,87.0,96.0,101.0
236,82.0,80.0,78.0,78.0,75.0,78.0,72.0
237,80.0,78.0,78.0,75.0,78.0,72.0,72.0
238,78.0,78.0,75.0,78.0,72.0,72.0,78.0
239,78.0,75.0,78.0,72.0,72.0,78.0,82.0
240,75.0,78.0,72.0,72.0,78.0,82.0,93.0
241,78.0,72.0,72.0,78.0,82.0,93.0,101.0
242,93.0,87.0,87.0,78.0,77.0,71.0,64.0
243,87.0,87.0,78.0,77.0,71.0,64.0,70.0
244,87.0,78.0,77.0,71.0,64.0,70.0,69.0
245,78.0,77.0,71.0,64.0,70.0,69.0,67.0
246,77.0,71.0,64.0,70.0,69.0,67.0,60.0
247,71.0,64.0,70.0,69.0,67.0,60.0,57.0
248,64.0,70.0,69.0,67.0,60.0,57.0,62.0
249,70.0,69.0,67.0,60.0,57.0,62.0,63.0
250,69.0,67.0,60.0,57.0,62.0,63.0,60.0
251,67.0,60.0,57.0,62.0,63.0,60.0,64.0
252,60.0,57.0,62.0,63.0,60.0,64.0,63.0
253,57.0,62.0,63.0,60.0,64.0,63.0,65.0
254,62.0,63.0,60.0,64.0,63.0,65.0,70.0
255,63.0,60.0,64.0,63.0,65.0,70.0,71.0
256,60.0,64.0,63.0,65.0,70.0,71.0,101.0
257,48.0,46.0,44.0,54.0,75.0,84.0,96.0
258,46.0,44.0,54.0,75.0,84.0,96.0,101.0
259,84.0,79.0,73.0,68.0,56.0,54.0,49.0
260,79.0,73.0,68.0,56.0,54.0,49.0,41.0
261,73.0,68.0,56.0,54.0,49.0,41.0,40.0
262,68.0,56.0,54.0,49.0,41.0,40.0,34.0
263,56.0,54.0,49.0,41.0,40.0,34.0,33.0
264,54.0,49.0,41.0,40.0,34.0,33.0,31.0
265,49.0,41.0,40.0,34.0,33.0,31.0,30.0
266,41.0,40.0,34.0,33.0,31.0,30.0,30.0
267,40.0,34.0,33.0,31.0,30.0,30.0,38.0
268,34.0,33.0,31.0,30.0,30.0,38.0,44.0
269,33.0,31.0,30.0,30.0,38.0,44.0,52.0
270,31.0,30.0,30.0,38.0,44.0,52.0,56.0
271,30.0,30.0,38.0,44.0,52.0,56.0,62.0
272,30.0,38.0,44.0,52.0,56.0,62.0,82.0
273,38.0,44.0,52.0,56.0,62.0,82.0,101.0
274,34.0,29.0,24.0,23.0,16.0,14.0,10.0
275,29.0,24.0,23.0,16.0,14.0,10.0,14.0
276,24.0,23.0,16.0,14.0,10.0,14.0,17.0
277,23.0,16.0,14.0,10.0,14.0,17.0,18.0
278,16.0,14.0,10.0,14.0,17.0,18.0,23.0
279,14.0,10.0,14.0,17.0,18.0,23.0,36.0
280,10.0,14.0,17.0,18.0,23.0,36.0,53.0
281,14.0,17.0,18.0,23.0,36.0,53.0,76.0
282,17.0,18.0,23.0,36.0,53.0,76.0,89.0
283,18.0,23.0,36.0,53.0,76.0,89.0,73.0
284,23.0,36.0,53.0,76.0,89.0,73.0,87.0
285,36.0,53.0,76.0,89.0,73.0,87.0,99.0
286,53.0,76.0,89.0,73.0,87.0,99.0,101.0
287,27.0,39.0,69.0,83.0,87.0,84.0,71.0
288,39.0,69.0,83.0,87.0,84.0,71.0,39.0
289,69.0,83.0,87.0,84.0,71.0,39.0,55.0
290,83.0,87.0,84.0,71.0,39.0,55.0,59.0
291,87.0,84.0,71.0,39.0,55.0,59.0,68.0
292,84.0,71.0,39.0,55.0,59.0,68.0,77.0
293,71.0,39.0,55.0,59.0,68.0,77.0,88.0
294,39.0,55.0,59.0,68.0,77.0,88.0,86.0
295,55.0,59.0,68.0,77.0,88.0,86.0,90.0
296,59.0,68.0,77.0,88.0,86.0,90.0,99.0
297,68.0,77.0,88.0,86.0,90.0,99.0,97.0
298,77.0,88.0,86.0,90.0,99.0,97.0,95.0
299,88.0,86.0,90.0,99.0,97.0,95.0,92.0
300,86.0,90.0,99.0,97.0,95.0,92.0,98.0
301,90.0,99.0,97.0,95.0,92.0,98.0,101.0
302,82.0,87.0,84.0,87.0,81.0,85.0,76.0
303,87.0,84.0,87.0,81.0,85.0,76.0,77.0
