,diff_0,diff_1,diff_2,diff_3,diff_4,target
184,74.0,77.0,79.0,76.0,70.0,70.0
185,77.0,79.0,76.0,70.0,70.0,73.0
186,79.0,76.0,70.0,70.0,73.0,71.0
187,76.0,70.0,70.0,73.0,71.0,77.0
188,70.0,70.0,73.0,71.0,77.0,81.0
189,70.0,73.0,71.0,77.0,81.0,67.0
190,73.0,71.0,77.0,81.0,67.0,68.0
191,71.0,77.0,81.0,67.0,68.0,67.0
192,77.0,81.0,67.0,68.0,67.0,78.0
193,81.0,67.0,68.0,67.0,78.0,91.0
194,67.0,68.0,67.0,78.0,91.0,91.0
195,68.0,67.0,78.0,91.0,91.0,96.0
196,67.0,78.0,91.0,91.0,96.0,101.0
197,75.0,68.0,63.0,60.0,55.0,55.0
198,68.0,63.0,60.0,55.0,55.0,55.0
199,63.0,60.0,55.0,55.0,55.0,64.0
200,60.0,55.0,55.0,55.0,64.0,64.0
201,55.0,55.0,55.0,64.0,64.0,67.0
202,55.0,55.0,64.0,64.0,67.0,71.0
203,55.0,64.0,64.0,67.0,71.0,75.0
204,64.0,64.0,67.0,71.0,75.0,71.0
205,64.0,67.0,71.0,75.0,71.0,71.0
206,67.0,71.0,75.0,71.0,71.0,73.0
207,71.0,75.0,71.0,71.0,73.0,70.0
208,75.0,71.0,71.0,73.0,70.0,68.0
209,71.0,71.0,73.0,70.0,68.0,67.0
210,71.0,73.0,70.0,68.0,67.0,69.0
211,73.0,70.0,68.0,67.0,69.0,66.0
212,70.0,68.0,67.0,69.0,66.0,101.0
213,74.0,54.0,42.0,40.0,35.0,35.0
214,54.0,42.0,40.0,35.0,35.0,35.0
215,42.0,40.0,35.0,35.0,35.0,35.0
216,40.0,35.0,35.0,35.0,35.0,35.0
217,35.0,35.0,35.0,35.0,35.0,39.0
218,35.0,35.0,35.0,35.0,39.0,37.0
219,35.0,35.0,35.0,39.0,37.0,37.0
220,35.0,35.0,39.0,37.0,37.0,37.0
221,35.0,39.0,37.0,37.0,37.0,59.0
222,39.0,37.0,37.0,37.0,59.0,64.0
223,37.0,37.0,37.0,59.0,64.0,67.0
224,37.0,37.0,59.0,64.0,67.0,71.0
225,37.0,59.0,64.0,67.0,71.0,82.0
226,59.0,64.0,67.0,71.0,82.0,84.0
227,64.0,67.0,71.0,82.0,84.0,98.0
228,67.0,71.0,82.0,84.0,98.0,101.0
229,81.0,97.0,98.0,93.0,86.0,95.0
230,97.0,98.0,93.0,86.0,95.0,95.0
231,98.0,93.0,86.0,95.0,95.0,101.0
232,33.0,33.0,46.0,64.0,78.0,92.0
233,33.0,46.0,64.0,78.0,92.0,101.0
234,97.0,88.0,85.0,83.0,84.0,81.0
235,88.0,85.0,83.0,84.0,81.0,72.0
236,85.0,83.0,84.0,81.0,72.0,44.0
237,83.0,84.0,81.0,72.0,44.0,54.0
238,84.0,81.0,72.0,44.0,54.0,55.0
239,81.0,72.0,44.0,54.0,55.0,51.0
240,72.0,44.0,54.0,55.0,51.0,48.0
241,44.0,54.0,55.0,51.0,48.0,45.0
242,54.0,55.0,51.0,48.0,45.0,43.0
243,55.0,51.0,48.0,45.0,43.0,40.0
244,51.0,48.0,45.0,43.0,40.0,36.0
245,48.0,45.0,43.0,40.0,36.0,36.0
246,45.0,43.0,40.0,36.0,36.0,34.0
247,43.0,40.0,36.0,36.0,34.0,39.0
248,40.0,36.0,36.0,34.0,39.0,46.0
249,36.0,36.0,34.0,39.0,46.0,101.0
250,40.0,37.0,33.0,31.0,36.0,37.0
251,37.0,33.0,31.0,36.0,37.0,42.0
252,33.0,31.0,36.0,37.0,42.0,52.0
253,31.0,36.0,37.0,42.0,52.0,61.0
254,36.0,37.0,42.0,52.0,61.0,81.0
255,37.0,42.0,52.0,61.0,81.0,87.0
256,42.0,52.0,61.0,81.0,87.0,96.0
257,52.0,61.0,81.0,87.0,96.0,101.0
258,33.0,42.0,56.0,70.0,90.0,101.0
259,82.0,80.0,78.0,78.0,75.0,78.0
260,80.0,78.0,78.0,75.0,78.0,72.0
261,78.0,78.0,75.0,78.0,72.0,72.0
262,78.0,75.0,78.0,72.0,72.0,78.0
263,75.0,78.0,72.0,72.0,78.0,82.0
264,78.0,72.0,72.0,78.0,82.0,93.0
265,72.0,72.0,78.0,82.0,93.0,101.0
266,95.0,89.0,89.0,96.0,100.0,101.0
267,93.0,87.0,87.0,78.0,77.0,71.0
268,87.0,87.0,78.0,77.0,71.0,64.0
269,87.0,78.0,77.0,71.0,64.0,70.0
270,78.0,77.0,71.0,64.0,70.0,69.0
271,77.0,71.0,64.0,70.0,69.0,67.0
272,71.0,64.0,70.0,69.0,67.0,60.0
273,64.0,70.0,69.0,67.0,60.0,57.0
274,70.0,69.0,67.0,60.0,57.0,62.0
275,69.0,67.0,60.0,57.0,62.0,63.0
276,67.0,60.0,57.0,62.0,63.0,60.0
277,60.0,57.0,62.0,63.0,60.0,64.0
278,57.0,62.0,63.0,60.0,64.0,63.0
279,62.0,63.0,60.0,64.0,63.0,65.0
280,63.0,60.0,64.0,63.0,65.0,70.0
281,60.0,64.0,63.0,65.0,70.0,71.0
282,64.0,63.0,65.0,70.0,71.0,101.0
283,48.0,46.0,44.0,54.0,75.0,84.0
284,46.0,44.0,54.0,75.0,84.0,96.0
285,44.0,54.0,75.0,84.0,96.0,101.0
286,80.0,67.0,63.0,53.0,48.0,101.0
287,84.0,79.0,73.0,68.0,56.0,54.0
288,79.0,73.0,68.0,56.0,54.0,49.0
289,73.0,68.0,56.0,54.0,49.0,41.0
290,68.0,56.0,54.0,49.0,41.0,40.0
291,56.0,54.0,49.0,41.0,40.0,34.0
292,54.0,49.0,41.0,40.0,34.0,33.0
293,49.0,41.0,40.0,34.0,33.0,31.0
294,41.0,40.0,34.0,33.0,31.0,30.0
295,40.0,34.0,33.0,31.0,30.0,30.0
296,34.0,33.0,31.0,30.0,30.0,38.0
297,33.0,31.0,30.0,30.0,38.0,44.0
298,31.0,30.0,30.0,38.0,44.0,52.0
299,30.0,30.0,38.0,44.0,52.0,56.0
300,30.0,38.0,44.0,52.0,56.0,62.0
301,38.0,44.0,52.0,56.0,62.0,82.0
302,44.0,52.0,56.0,62.0,82.0,101.0
303,34.0,29.0,24.0,23.0,16.0,14.0
304,29.0,24.0,23.0,16.0,14.0,10.0
305,24.0,23.0,16.0,14.0,10.0,14.0
306,23.0,16.0,14.0,10.0,14.0,17.0
307,16.0,14.0,10.0,14.0,17.0,18.0
308,14.0,10.0,14.0,17.0,18.0,23.0
309,10.0,14.0,17.0,18.0,23.0,36.0
310,14.0,17.0,18.0,23.0,36.0,53.0
311,17.0,18.0,23.0,36.0,53.0,76.0
312,18.0,23.0,36.0,53.0,76.0,89.0
313,23.0,36.0,53.0,76.0,89.0,73.0
314,36.0,53.0,76.0,89.0,73.0,87.0
315,53.0,76.0,89.0,73.0,87.0,99.0
316,76.0,89.0,73.0,87.0,99.0,101.0
317,27.0,39.0,69.0,83.0,87.0,84.0
318,39.0,69.0,83.0,87.0,84.0,71.0
319,69.0,83.0,87.0,84.0,71.0,39.0
320,83.0,87.0,84.0,71.0,39.0,55.0
321,87.0,84.0,71.0,39.0,55.0,59.0
322,84.0,71.0,39.0,55.0,59.0,68.0
323,71.0,39.0,55.0,59.0,68.0,77.0
324,39.0,55.0,59.0,68.0,77.0,88.0
325,55.0,59.0,68.0,77.0,88.0,86.0
326,59.0,68.0,77.0,88.0,86.0,90.0
327,68.0,77.0,88.0,86.0,90.0,99.0
328,77.0,88.0,86.0,90.0,99.0,97.0
329,88.0,86.0,90.0,99.0,97.0,95.0
330,86.0,90.0,99.0,97.0,95.0,92.0
331,90.0,99.0,97.0,95.0,92.0,98.0
332,99.0,97.0,95.0,92.0,98.0,101.0
333,82.0,87.0,84.0,87.0,81.0,85.0
334,87.0,84.0,87.0,81.0,85.0,76.0
335,84.0,87.0,81.0,85.0,76.0,77.0
336,87.0,81.0,85.0,76.0,77.0,83.0
337,81.0,85.0,76.0,77.0,83.0,101.0
338,41.0,67.0,75.0,89.0,75.0,81.0
339,67.0,75.0,89.0,75.0,81.0,88.0
340,75.0,89.0,75.0,81.0,88.0,93.0
341,89.0,75.0,81.0,88.0,93.0,100.0
342,75.0,81.0,88.0,93.0,100.0,100.0
343,81.0,88.0,93.0,100.0,100.0,97.0
344,88.0,93.0,100.0,100.0,97.0,101.0
345,17.0,14.0,18.0,9.0,8.0,5.0
346,14.0,18.0,9.0,8.0,5.0,4.0
347,18.0,9.0,8.0,5.0,4.0,4.0
348,9.0,8.0,5.0,4.0,4.0,4.0
349,8.0,5.0,4.0,4.0,4.0,3.0
350,5.0,4.0,4.0,4.0,3.0,1.0
351,4.0,4.0,4.0,3.0,1.0,1.0
352,4.0,4.0,3.0,1.0,1.0,2.0
353,4.0,3.0,1.0,1.0,2.0,2.0
354,3.0,1.0,1.0,2.0,2.0,4.0
355,1.0,1.0,2.0,2.0,4.0,5.0
356,1.0,2.0,2.0,4.0,5.0,8.0
357,2.0,2.0,4.0,5.0,8.0,11.0
358,2.0,4.0,5.0,8.0,11.0,13.0
359,4.0,5.0,8.0,11.0,13.0,14.0
360,5.0,8.0,11.0,13.0,14.0,17.0
361,8.0,11.0,13.0,14.0,17.0,19.0
362,11.0,13.0,14.0,17.0,19.0,20.0
363,13.0,14.0,17.0,19.0,20.0,21.0
364,14.0,17.0,19.0,20.0,21.0,18.0
365,17.0,19.0,20.0,21.0,18.0,24.0
366,19.0,20.0,21.0,18.0,24.0,29.0
367,20.0,21.0,18.0,24.0,29.0,31.0
368,21.0,18.0,24.0,29.0,31.0,38.0
369,18.0,24.0,29.0,31.0,38.0,46.0
370,24.0,29.0,31.0,38.0,46.0,46.0
371,29.0,31.0,38.0,46.0,46.0,49.0
372,31.0,38.0,46.0,46.0,49.0,101.0
