,diff_0,diff_1,target
397,38.0,44.0,52.0
398,44.0,52.0,56.0
399,52.0,56.0,62.0
400,56.0,62.0,82.0
401,62.0,82.0,101.0
402,34.0,29.0,24.0
403,29.0,24.0,23.0
404,24.0,23.0,16.0
405,23.0,16.0,14.0
406,16.0,14.0,10.0
407,14.0,10.0,14.0
408,10.0,14.0,17.0
409,14.0,17.0,18.0
410,17.0,18.0,23.0
411,18.0,23.0,36.0
412,23.0,36.0,53.0
413,36.0,53.0,76.0
414,53.0,76.0,89.0
415,76.0,89.0,73.0
416,89.0,73.0,87.0
417,73.0,87.0,99.0
418,87.0,99.0,101.0
419,27.0,39.0,69.0
420,39.0,69.0,83.0
421,69.0,83.0,87.0
422,83.0,87.0,84.0
423,87.0,84.0,71.0
424,84.0,71.0,39.0
425,71.0,39.0,55.0
426,39.0,55.0,59.0
427,55.0,59.0,68.0
428,59.0,68.0,77.0
429,68.0,77.0,88.0
430,77.0,88.0,86.0
431,88.0,86.0,90.0
432,86.0,90.0,99.0
433,90.0,99.0,97.0
434,99.0,97.0,95.0
435,97.0,95.0,92.0
436,95.0,92.0,98.0
437,92.0,98.0,101.0
438,82.0,87.0,84.0
439,87.0,84.0,87.0
440,84.0,87.0,81.0
441,87.0,81.0,85.0
442,81.0,85.0,76.0
443,85.0,76.0,77.0
444,76.0,77.0,83.0
445,77.0,83.0,101.0
446,41.0,67.0,75.0
447,67.0,75.0,89.0
448,75.0,89.0,75.0
449,89.0,75.0,81.0
450,75.0,81.0,88.0
451,81.0,88.0,93.0
452,88.0,93.0,100.0
453,93.0,100.0,100.0
454,100.0,100.0,97.0
455,100.0,97.0,101.0
456,17.0,14.0,18.0
457,14.0,18.0,9.0
458,18.0,9.0,8.0
459,9.0,8.0,5.0
460,8.0,5.0,4.0
461,5.0,4.0,4.0
462,4.0,4.0,4.0
463,4.0,4.0,3.0
464,4.0,3.0,1.0
465,3.0,1.0,1.0
466,1.0,1.0,2.0
467,1.0,2.0,2.0
468,2.0,2.0,4.0
469,2.0,4.0,5.0
470,4.0,5.0,8.0
471,5.0,8.0,11.0
472,8.0,11.0,13.0
473,11.0,13.0,14.0
474,13.0,14.0,17.0
475,14.0,17.0,19.0
476,17.0,19.0,20.0
477,19.0,20.0,21.0
478,20.0,21.0,18.0
479,21.0,18.0,24.0
480,18.0,24.0,29.0
481,24.0,29.0,31.0
482,29.0,31.0,38.0
483,31.0,38.0,46.0
484,38.0,46.0,46.0
485,46.0,46.0,49.0
486,46.0,49.0,101.0
487,63.0,62.0,58.0
488,62.0,58.0,53.0
489,58.0,53.0,53.0
490,53.0,53.0,44.0
491,53.0,44.0,35.0
492,44.0,35.0,35.0
493,35.0,35.0,35.0
494,35.0,35.0,35.0
495,35.0,35.0,38.0
496,35.0,38.0,37.0
497,38.0,37.0,36.0
498,37.0,36.0,41.0
499,36.0,41.0,44.0
500,41.0,44.0,52.0
501,44.0,52.0,53.0
502,52.0,53.0,59.0
503,53.0,59.0,63.0
504,59.0,63.0,64.0
505,63.0,64.0,101.0
506,56.0,36.0,101.0
507,57.0,89.0,101.0
508,61.0,28.0,8.0
509,28.0,8.0,27.0
510,8.0,27.0,51.0
511,27.0,51.0,76.0
512,51.0,76.0,82.0
513,76.0,82.0,86.0
514,82.0,86.0,83.0
515,86.0,83.0,85.0
516,83.0,85.0,96.0
517,85.0,96.0,101.0
518,91.0,62.0,52.0
519,62.0,52.0,51.0
520,52.0,51.0,51.0
521,51.0,51.0,52.0
522,51.0,52.0,47.0
523,52.0,47.0,49.0
524,47.0,49.0,46.0
525,49.0,46.0,42.0
526,46.0,42.0,41.0
527,42.0,41.0,35.0
528,41.0,35.0,36.0
529,35.0,36.0,39.0
530,36.0,39.0,35.0
531,39.0,35.0,34.0
532,35.0,34.0,43.0
533,34.0,43.0,53.0
534,43.0,53.0,50.0
535,53.0,50.0,47.0
536,50.0,47.0,101.0
537,74.0,42.0,24.0
538,42.0,24.0,16.0
539,24.0,16.0,13.0
540,16.0,13.0,9.0
541,13.0,9.0,6.0
542,9.0,6.0,5.0
543,6.0,5.0,3.0
544,5.0,3.0,3.0
545,3.0,3.0,2.0
546,3.0,2.0,2.0
547,2.0,2.0,2.0
548,2.0,2.0,2.0
549,2.0,2.0,2.0
550,2.0,2.0,2.0
551,2.0,2.0,2.0
552,2.0,2.0,4.0
553,2.0,4.0,5.0
554,4.0,5.0,6.0
555,5.0,6.0,7.0
556,6.0,7.0,9.0
557,7.0,9.0,11.0
558,9.0,11.0,11.0
559,11.0,11.0,11.0
560,11.0,11.0,19.0
561,11.0,19.0,21.0
562,19.0,21.0,25.0
563,21.0,25.0,30.0
564,25.0,30.0,34.0
565,30.0,34.0,32.0
566,34.0,32.0,34.0
567,32.0,34.0,32.0
568,34.0,32.0,36.0
569,32.0,36.0,42.0
570,36.0,42.0,44.0
571,42.0,44.0,43.0
572,44.0,43.0,44.0
573,43.0,44.0,50.0
574,44.0,50.0,101.0
575,93.0,90.0,86.0
576,90.0,86.0,87.0
577,86.0,87.0,100.0
578,87.0,100.0,101.0
579,68.0,35.0,19.0
580,35.0,19.0,16.0
581,19.0,16.0,10.0
582,16.0,10.0,7.0
583,10.0,7.0,6.0
584,7.0,6.0,5.0
585,6.0,5.0,5.0
586,5.0,5.0,7.0
587,5.0,7.0,7.0
588,7.0,7.0,9.0
589,7.0,9.0,14.0
590,9.0,14.0,23.0
591,14.0,23.0,29.0
592,23.0,29.0,39.0
593,29.0,39.0,42.0
594,39.0,42.0,45.0
595,42.0,45.0,46.0
596,45.0,46.0,50.0
597,46.0,50.0,50.0
598,50.0,50.0,101.0
599,97.0,83.0,81.0
600,83.0,81.0,93.0
601,81.0,93.0,91.0
602,93.0,91.0,98.0
603,91.0,98.0,91.0
604,98.0,91.0,100.0
605,91.0,100.0,101.0
606,92.0,75.0,75.0
607,75.0,75.0,79.0
608,75.0,79.0,77.0
609,79.0,77.0,77.0
610,77.0,77.0,73.0
611,77.0,73.0,71.0
612,73.0,71.0,73.0
613,71.0,73.0,76.0
614,73.0,76.0,81.0
615,76.0,81.0,86.0
616,81.0,86.0,87.0
617,86.0,87.0,93.0
618,87.0,93.0,101.0
619,88.0,58.0,73.0
620,58.0,73.0,75.0
621,73.0,75.0,78.0
622,75.0,78.0,76.0
623,78.0,76.0,74.0
624,76.0,74.0,82.0
625,74.0,82.0,75.0
626,82.0,75.0,82.0
627,75.0,82.0,89.0
628,82.0,89.0,92.0
629,89.0,92.0,100.0
630,92.0,100.0,101.0
631,70.0,61.0,55.0
632,61.0,55.0,52.0
633,55.0,52.0,46.0
634,52.0,46.0,45.0
635,46.0,45.0,34.0
636,45.0,34.0,36.0
637,34.0,36.0,36.0
638,36.0,36.0,35.0
639,36.0,35.0,35.0
640,35.0,35.0,35.0
641,35.0,35.0,35.0
642,35.0,35.0,33.0
643,35.0,33.0,28.0
644,33.0,28.0,31.0
645,28.0,31.0,32.0
646,31.0,32.0,35.0
647,32.0,35.0,37.0
648,35.0,37.0,41.0
649,37.0,41.0,47.0
650,41.0,47.0,49.0
651,47.0,49.0,101.0
652,89.0,79.0,67.0
653,79.0,67.0,57.0
654,67.0,57.0,47.0
655,57.0,47.0,43.0
656,47.0,43.0,36.0
657,43.0,36.0,35.0
658,36.0,35.0,36.0
659,35.0,36.0,36.0
660,36.0,36.0,32.0
661,36.0,32.0,28.0
662,32.0,28.0,28.0
663,28.0,28.0,25.0
664,28.0,25.0,21.0
665,25.0,21.0,18.0
666,21.0,18.0,18.0
667,18.0,18.0,14.0
668,18.0,14.0,13.0
669,14.0,13.0,11.0
670,13.0,11.0,11.0
671,11.0,11.0,12.0
672,11.0,12.0,12.0
673,12.0,12.0,12.0
674,12.0,12.0,13.0
675,12.0,13.0,15.0
676,13.0,15.0,15.0
677,15.0,15.0,15.0
678,15.0,15.0,15.0
679,15.0,15.0,16.0
680,15.0,16.0,19.0
681,16.0,19.0,21.0
682,19.0,21.0,26.0
683,21.0,26.0,22.0
684,26.0,22.0,26.0
685,22.0,26.0,29.0
686,26.0,29.0,29.0
687,29.0,29.0,33.0
688,29.0,33.0,34.0
689,33.0,34.0,38.0
690,34.0,38.0,46.0
691,38.0,46.0,44.0
692,46.0,44.0,48.0
693,44.0,48.0,47.0
694,48.0,47.0,50.0
695,47.0,50.0,101.0
696,90.0,90.0,98.0
697,90.0,98.0,93.0
698,98.0,93.0,91.0
699,93.0,91.0,92.0
700,91.0,92.0,90.0
701,92.0,90.0,101.0
702,82.0,88.0,100.0
703,88.0,100.0,101.0
704,70.0,66.0,59.0
705,66.0,59.0,85.0
706,59.0,85.0,101.0
707,91.0,99.0,93.0
708,99.0,93.0,90.0
709,93.0,90.0,88.0
710,90.0,88.0,89.0
711,88.0,89.0,86.0
712,89.0,86.0,84.0
713,86.0,84.0,76.0
714,84.0,76.0,85.0
715,76.0,85.0,93.0
716,85.0,93.0,101.0
717,91.0,85.0,85.0
718,85.0,85.0,66.0
719,85.0,66.0,59.0
720,66.0,59.0,55.0
